"status","release_decision","candidate_basis","current_exists","toy_id","item_id","name","item_expansion_id","source_type_enum","flags","source_text"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","231","108739","Pretty Draenor Pearl","5","0","0","|cFFFFD200Treasure: |rGiant Draenor Clam |n|cFFFFD200Zone: |rFrostfire Ridge"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","270","116125","Klikixx's Webspinner","5","0","0","|cFFFFD200Drop: |rKlikixx|n|cFFFFD200Zone: |rTalador"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","271","113570","Ancient's Bloom","5","0","0","|cFFFFD200Drop: |rYggdrel|n|cFFFFD200Zone: |rShadowmoon Valley"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","272","111476","Stolen Breath","5","0","0","|cFFFFD200Drop: |rBreathless|n|cFFFFD200Zone: |rFrostfire Ridge"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","278","118191","Archmage Vargoth's Spare Staff","5","0","2","It's a Mystery!"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","279","113096","Bloodmane Charm","5","2","0","|cFFFFD200Vendor: |rSmuggler|n|cFFFFD200Zone: |rSpires of Arak|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","280","109183","World Shrinker","5","3","0","|cFFFFD200Profession: |rEngineering"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","282","118427","Autographed Hearthstone Card","5","0","0","|cFFFFD200Garrison Mission|r"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","285","119144","Touch of the Naaru","5","1","0","|cFFFFD200Quest: |rThe Trial of Champions|n|cFFFFD200Zone: |rShadowmoon Valley"
"wod_acquisition_confirmed","include_wod","blizzard_guide_and_att_wod","True","286","119432","Botani Camouflage","5","0","0","|cFFFFD200Drop:|r Basten|n|cFFFFD200Zone:|r Gorgrond"
