"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_id","completion_quest_id","selection_decision"
"9548","Buried Treasures","0","39604","Garrosh's Shackles","26145","27","37130",,"37130","include_wod"
"9548","Buried Treasures","1","39605","Warsong Relics","26146","27","37132",,"37132","include_wod"
"9548","Buried Treasures","2","39606","Warsong Remains","26147","27","37133",,"37133","include_wod"
"9548","Buried Treasures","3","39607","Stolen Draenei Tome","26148","27","37134",,"37134","include_wod"
"9548","Buried Treasures","4","39608","Wolf Pup Remains","26149","27","37135",,"37135","include_wod"
"9548","Buried Treasures","5","39609","Gnarled Bone","26150","27","37136",,"37136","include_wod"
"9728","Grand Treasure Hunter","0","41841","","24461","27","33916",,"33916","include_wod"
"9728","Grand Treasure Hunter","1","41842","","23564","27","32803",,"32803","include_wod"
"9728","Grand Treasure Hunter","2","41843","","26802","27","33016",,"33016","include_wod"
"9728","Grand Treasure Hunter","3","41844","","26803","27","33500",,"33500","include_wod"
"9728","Grand Treasure Hunter","4","41845","","26804","27","33502",,"33502","include_wod"
"9728","Grand Treasure Hunter","5","41846","","26805","27","33505",,"33505","include_wod"
"9728","Grand Treasure Hunter","6","41847","","26806","27","33017",,"33017","include_wod"
"9728","Grand Treasure Hunter","7","41848","","26807","27","33532",,"33532","include_wod"
"9728","Grand Treasure Hunter","8","41849","","26808","27","33930",,"33930","include_wod"
"9728","Grand Treasure Hunter","9","41850","","26809","27","33940",,"33940","include_wod"
"9728","Grand Treasure Hunter","10","41851","","26810","27","33942",,"33942","include_wod"
"9728","Grand Treasure Hunter","11","41852","","26811","27","33946",,"33946","include_wod"
"9728","Grand Treasure Hunter","12","41853","","26812","27","33947",,"33947","include_wod"
"9728","Grand Treasure Hunter","13","41854","","26813","27","33948",,"33948","include_wod"
"9728","Grand Treasure Hunter","14","41855","","26814","27","33949",,"33949","include_wod"
"9728","Grand Treasure Hunter","15","41856","","26815","27","33989",,"33989","include_wod"
"9728","Grand Treasure Hunter","16","41857","","26816","27","33991",,"33991","include_wod"
"9728","Grand Treasure Hunter","17","41858","","26817","27","33996",,"33996","include_wod"
"9728","Grand Treasure Hunter","18","41859","","26818","27","33998",,"33998","include_wod"
"9728","Grand Treasure Hunter","19","41860","","26819","27","34476",,"34476","include_wod"
"9728","Grand Treasure Hunter","20","41861","","26822","27","34507",,"34507","include_wod"
"9728","Grand Treasure Hunter","21","41862","","26823","27","34520",,"34520","include_wod"
"9728","Grand Treasure Hunter","22","41863","","26824","27","34521",,"34521","include_wod"
"9728","Grand Treasure Hunter","23","41864","","26825","27","34641",,"34641","include_wod"
"9728","Grand Treasure Hunter","24","41865","","26826","27","34642",,"34642","include_wod"
"9728","Grand Treasure Hunter","25","41866","","26827","27","34647",,"34647","include_wod"
"9728","Grand Treasure Hunter","26","41867","","26828","27","34648",,"34648","include_wod"
"9728","Grand Treasure Hunter","27","41868","","26829","27","34652",,"34652","include_wod"
"9728","Grand Treasure Hunter","28","41869","","26830","27","34713",,"34713","include_wod"
"9728","Grand Treasure Hunter","29","41870","","26831","27","34931",,"34931","include_wod"
"9728","Grand Treasure Hunter","30","41871","","26832","27","34841",,"34841","include_wod"
"9728","Grand Treasure Hunter","31","41872","","26833","27","34967",,"34967","include_wod"
"9728","Grand Treasure Hunter","32","41873","","26834","27","35347",,"35347","include_wod"
"9728","Grand Treasure Hunter","33","41874","","26835","27","35367",,"35367","include_wod"
"9728","Grand Treasure Hunter","34","41875","","26836","27","35368",,"35368","include_wod"
"9728","Grand Treasure Hunter","35","41876","","26837","27","35369",,"35369","include_wod"
"9728","Grand Treasure Hunter","36","41877","","26838","27","35370",,"35370","include_wod"
"9728","Grand Treasure Hunter","37","41878","","26839","27","35371",,"35371","include_wod"
"9728","Grand Treasure Hunter","38","41879","","26840","27","35373",,"35373","include_wod"
"9728","Grand Treasure Hunter","39","41880","","26841","27","35567",,"35567","include_wod"
"9728","Grand Treasure Hunter","40","41881","","26842","27","35569",,"35569","include_wod"
"9728","Grand Treasure Hunter","41","41882","","26843","27","35568",,"35568","include_wod"
"9728","Grand Treasure Hunter","42","41883","","26844","27","35570",,"35570","include_wod"
"9728","Grand Treasure Hunter","43","41884","","26845","27","36863",,"36863","include_wod"
"9728","Grand Treasure Hunter","44","41885","","26846","27","33384",,"33384","include_wod"
"9728","Grand Treasure Hunter","45","41886","","26847","27","33613",,"33613","include_wod"
"9728","Grand Treasure Hunter","46","41887","","26848","27","33564",,"33564","include_wod"
"9728","Grand Treasure Hunter","47","41888","","26849","27","33565",,"33565","include_wod"
"9728","Grand Treasure Hunter","48","41889","","26850","27","33566",,"33566","include_wod"
"9728","Grand Treasure Hunter","49","41890","","26851","27","33567",,"33567","include_wod"
"9728","Grand Treasure Hunter","50","41891","","26852","27","35581",,"35581","include_wod"
"9728","Grand Treasure Hunter","51","41892","","26853","27","33570",,"33570","include_wod"
"9728","Grand Treasure Hunter","52","41893","","26854","27","35919",,"35919","include_wod"
"9728","Grand Treasure Hunter","53","41894","","26855","27","33572",,"33572","include_wod"
"9728","Grand Treasure Hunter","54","41895","","26856","27","33574",,"33574","include_wod"
"9728","Grand Treasure Hunter","55","41896","","26857","27","33575",,"33575","include_wod"
"9728","Grand Treasure Hunter","56","41897","","26858","27","33610",,"33610","include_wod"
"9728","Grand Treasure Hunter","57","41898","","26859","27","33611",,"33611","include_wod"
"9728","Grand Treasure Hunter","58","41899","","26860","27","33612",,"33612","include_wod"
"9728","Grand Treasure Hunter","59","41900","","26861","27","33867",,"33867","include_wod"
"9728","Grand Treasure Hunter","60","41901","","26862","27","33869",,"33869","include_wod"
"9728","Grand Treasure Hunter","61","41902","","26863","27","33886",,"33886","include_wod"
"9728","Grand Treasure Hunter","62","41903","","26864","27","33891",,"33891","include_wod"
"9728","Grand Treasure Hunter","63","41904","","26865","27","33885",,"33885","include_wod"
"9728","Grand Treasure Hunter","64","41905","","26866","27","34174",,"34174","include_wod"
"9728","Grand Treasure Hunter","65","41906","","26867","27","35279",,"35279","include_wod"
"9728","Grand Treasure Hunter","66","41907","","26868","27","35280",,"35280","include_wod"
"9728","Grand Treasure Hunter","67","41908","","26869","27","37254",,"37254","include_wod"
"9728","Grand Treasure Hunter","68","41909","","26870","27","35530",,"35530","include_wod"
"9728","Grand Treasure Hunter","69","41910","","26871","27","33568",,"33568","include_wod"
"9728","Grand Treasure Hunter","70","41911","","26872","27","33584",,"33584","include_wod"
"9728","Grand Treasure Hunter","71","41912","","26873","27","33569",,"33569","include_wod"
"9728","Grand Treasure Hunter","72","41913","","26874","27","33573",,"33573","include_wod"
"9728","Grand Treasure Hunter","73","41914","","26875","27","33540",,"33540","include_wod"
"9728","Grand Treasure Hunter","74","41915","","26876","27","33614",,"33614","include_wod"
"9728","Grand Treasure Hunter","75","41916","","26877","27","33866",,"33866","include_wod"
"9728","Grand Treasure Hunter","76","41917","","26878","27","33046",,"33046","include_wod"
"9728","Grand Treasure Hunter","77","41918","","26879","27","35580",,"35580","include_wod"
"9728","Grand Treasure Hunter","78","41919","","26880","27","35584",,"35584","include_wod"
"9728","Grand Treasure Hunter","79","41920","","26881","27","35600",,"35600","include_wod"
"9728","Grand Treasure Hunter","80","41921","","26882","27","35603",,"35603","include_wod"
"9728","Grand Treasure Hunter","81","41922","","26883","27","33883",,"33883","include_wod"
"9728","Grand Treasure Hunter","82","41923","","26884","27","35798",,"35798","include_wod"
"9728","Grand Treasure Hunter","83","41924","","26885","27","36507",,"36507","include_wod"
"9728","Grand Treasure Hunter","84","41925","","26912","27","36381",,"36381","include_wod"
"9728","Grand Treasure Hunter","85","41926","","26913","27","36388",,"36388","include_wod"
