"status","release_decision","current_exists","official_guide_match","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text"
"wod_boundary_confirmed","include_wod","True","False","1387","Iron Starlette","77221","155838","111660","0","9","2","1","|cFFFFD200Quest:|r Report to the King (Alliance), Warning the Warchief (Horde)|n|cFFFFD200Zone:|r Blasted Lands (90+)|n"
"wod_boundary_confirmed","include_wod","True","False","1395","Lil' Leftovers","78895","25162","20769","0","5","2","3","|cFFFFD200Profession:|r Cooking"
"wod_boundary_confirmed","include_wod","True","True","1396","Crazy Carrot","79039","159581","110721","0","6","2","2","|cFFFFD200Vendor: |rNaron Bloomthistle|n|cFFFFD200Zone: |rLunarfall|n|cFFFFD200Cost: |r1000|TINTERFACE\ICONS\INV_FARM_PUMPKINSEED_YELLOW.BLP:0|t|n|n|cFFFFD200Vendor: |rTarnon|n|cFFFFD200Zone: |rFrostwall|n|cFFFFD200Cost: |r1000|TINTERFACE\ICONS\INV_FARM_PUMPKINSEED_YELLOW.BLP:0|t"
"wod_boundary_confirmed","include_wod","True","False","1403","Mechanical Axebeak","79410","160403","111402","0","2","2","3","|cFFFFD200Profession: |rEngineering"
"wod_boundary_confirmed","include_wod","True","False","1411","Royal Peachick","80101","161643","111866","0","2","82","5","|cFFFFD200Achievement:|r Draenor Safari|n"
"wod_boundary_confirmed","include_wod","True","False","1412","Lifelike Mechanical Frostboar","80329","162135","112057","0","9","2","3","|cFFFFD200Profession: |rEngineering"
"wod_boundary_confirmed","include_wod","True","False","1416","Teroclaw Hatchling","81431","164212","112699","0","2","2","0","|cFFFFD200Drop:|r Teroclaw Nest|n|cFFFFD200Zone:|r Talador"
"wod_boundary_confirmed","include_wod","True","False","1426","Elekk Plushie","82464","166071","113216;114833","0","5","2","3","|cFFFFD200Profession:|r Tailoring|n"
"wod_boundary_confirmed","include_wod","True","False","1429","Autumnal Sproutling","83584","167389","113569;118599","0","6","2","2","|cFFFFD200Vendor: |rDraemus|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\ACHIEVEMENT_GUILDPERK_HONORABLEMENTION.BLP:0|t"
"wod_boundary_confirmed","include_wod","True","True","1430","Forest Sproutling","83583","167390","113568;118600;119149","0","6","2","2","|cFFFFD200Vendor: |r Kwilax Fuseshiv|n|cFFFFD200Faction: |rSteamwheedle Preservation Society - Revered|n|cFFFFD200Cost: |r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wod_boundary_confirmed","include_wod","True","True","1432","Nightshade Sproutling","83594","167394","113566;118595","0","6","2","3","|cFFFFD200Profession:|r Herbalism"
"wod_boundary_confirmed","include_wod","True","True","1434","Sun Sproutling","83588","167397","113564;118598","0","6","2","1","|cFFFFD200Quest:|r Mastering the Menagerie"
"wod_boundary_confirmed","include_wod","True","False","1446","Meadowstomper Calf","84330","168668","114834;115469","0","7","2","2","|cFFFFD200Quest:|r New Babies|n|cFFFFD200Zone:|r Nagrand (Draenor)"
"wod_boundary_confirmed","include_wod","True","False","1448","Sea Calf","84441","168977","114919","0","8","2","3","|cFFFFD200Profession:|r Fishing|n|cFFFFD200Vendor:|r Nat Pagle|n|cFFFFD200Zone:|r Garrison, Fishing Shack|n|cFFFFD200Cost:|r 50|Tinterface\icons\inv_misc_coin_19.blp:0|t"
"wod_boundary_confirmed","include_wod","True","False","1449","Deathwatch Hatchling","84521","169220","114968","0","7","18","2","|cFFFFD200Vendor:|r Guild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wod_boundary_confirmed","include_wod","True","True","1450","Draenei Micro Defender","84885","169666","115282;119142","0","9","2","2","|cFFFFD200Vendor:|r Vinidcator Nuurem|n|cFFFFD200Reputation:|r Council of Exarchs|n"
"wod_boundary_confirmed","include_wod","True","False","1451","Molten Corgi","84915","169695","115301","0","6","16466","5","|cFFFFD200Achievement:|r WoW's 10th Anniversary|n|cFFFFD200Category:|r Feats of Strength"
"wod_boundary_confirmed","include_wod","True","False","1453","River Calf","79730","223110","140274","0","7","2","2","|cFFFFD200Vendor: |rDraemus|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r50|TINTERFACE\ICONS\ACHIEVEMENT_GUILDPERK_HONORABLEMENTION.BLP:0|t"
"wod_boundary_confirmed","include_wod","True","True","1458","Bone Wasp","85014","170286","119146","0","2","2","2","|cFFFFD200Vendor:|r Faction Vendor|n|cFFFFD200Reputation:|r Laughing Skull"
"wod_boundary_confirmed","include_wod","True","False","1467","Sky-Bo","85284","170292","115483","0","9","2","0","|cFFFFD200Drop:|r Blingtron 5000 Gift Package"
"wod_boundary_confirmed","include_wod","True","True","1471","Fruit Hunter","85387","170285","117564","0","2","2","0","|cFFFFD200Drop:|r Wiggling Egg|n|cFFFFD200Zone:|r Frostfire Ridge|n|n"
"wod_boundary_confirmed","include_wod","True","False","1478","Syd the Squid","85527","170774","116064","0","5","2","0","|cFFFFD200Drop:|r Greater Darkmoon Pet Supplies|n"
"wod_boundary_confirmed","include_wod","True","True","1495","Ore Eater","85667","170280","118919","0","0","2","3","|cFFFFD200Profession:|r Mining"
"wod_boundary_confirmed","include_wod","True","False","1511","Lovebird Hatchling","85710","132762","91003","0","4","2","2","|cFFFFD200World Event:|r Love is in the Air|n|cFFFFD200Vendor: |rLovely Merchant|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\INV_ValentinesCard01:0|t"
"wod_boundary_confirmed","include_wod","True","False","1514","Mystical Spring Bouquet","85773","171222","116258","0","2","146","6","|cFFFFD200World Event:|r Noblegarden|n|cFFFFD200Vendor: |rNoblegarden Merchant|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\Achievement_Noblegarden_Chocolate_Egg:0|t"
"wod_boundary_confirmed","include_wod","True","False","1515","Stonegrinder","85231","170282","116402","0","9","2","0","|cFFFFD200Drop:|r Talador"
"wod_boundary_confirmed","include_wod","True","False","1516","Bush Chicken","85846","171500","116403","0","4","2","2","|cFFFFD200World Event:|r Pilgrim's Bounty"
"wod_boundary_confirmed","include_wod","True","False","1517","Blazing Cindercrawler","85872","171552","116439","0","6","2","6","|cFFFFD200World Event:|r Midsummer Fire Festival|n|cFFFFD200Vendor: |rMidsummer Merchant, Midsummer Supplier|n|cFFFFD200Cost: |r350|TINTERFACE\ICONS\INV_SummerFest_FireFlower:0|t"
