"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","flags","points"
"wod_category_confirmed","True","8671","You'll Get Caught Up In The... Frostfire!","Complete the Frostfire Ridge storylines listed below.","15220","Draenor","33931","0","10"
"wod_category_confirmed","True","8843","Skyreach","Defeat High Sage Viryx in Skyreach.","15228","Draenor Dungeon","36075","0","10"
"wod_category_confirmed","True","8844","Heroic: Skyreach","Defeat High Sage Viryx in Skyreach on Heroic difficulty.","15228","Draenor Dungeon","36080","0","10"
"wod_category_confirmed","True","8845","As I Walk Through the Valley of the Shadow of Moon","Complete the Shadowmoon Valley storylines listed below.","15220","Draenor","34963","0","10"
"wod_category_confirmed","True","8919","Don't Let the Tala-door Hit You on the Way Out","Complete the Talador storylines listed below.","15220","Draenor","35781","0","10"
"wod_category_confirmed","True","8920","Don't Let the Tala-door Hit You on the Way Out","Complete the Talador storylines listed below.","15220","Draenor","35783","0","10"
"wod_category_confirmed","True","8921","Welcome to Draenor","Complete the Assault on the Dark Portal.","15220","Draenor","35791","0","10"
"wod_category_confirmed","True","8922","Welcome to Draenor","Complete the Assault on the Dark Portal.","15220","Draenor","35789","0","10"
"wod_category_confirmed","True","8923","Putting the Gore in Gorgrond","Complete the Gorgrond storylines listed below.","15220","Draenor","35779","0","10"
"wod_category_confirmed","True","8924","Putting the Gore in Gorgrond","Complete the Gorgrond storylines listed below.","15220","Draenor","35777","0","10"
"wod_category_confirmed","True","8925","Between Arak and a Hard Place","Complete the Spires of Arak storylines listed below.","15220","Draenor","35787","0","10"
"wod_category_confirmed","True","8926","Between Arak and a Hard Place","Complete the Spires of Arak storylines listed below.","15220","Draenor","39401","0","10"
"wod_category_confirmed","True","8927","Nagrandeur","Complete the Nagrand storylines listed below.","15220","Draenor","35795","0","10"
"wod_category_confirmed","True","8928","Nagrandeur","Complete the Nagrand storylines listed below.","15220","Draenor","35793","0","10"
"wod_category_confirmed","True","8929","The Steel Has Been Brought","Defeat Flamebender Ka'graz in Blackrock Foundry without killing Aknor Steelbringer on Normal difficulty or higher.","15231","Draenor Raid","35930","0","10"
"wod_category_confirmed","True","8930","Ya, We've Got Time...","Complete the Blast Furnace encounter in Blackrock Foundry after defeating all four Primal Elementalists within 10 seconds of each other, on Normal difficulty or higher.","15231","Draenor Raid","35932","0","10"
"wod_category_confirmed","True","8932","Mythic: Flamebender Ka'graz","Defeat Flamebender Ka'graz in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","35936","0","10"
"wod_category_confirmed","True","8933","Staying Regular","Relieve yourself in the garrison outhouse.","15237","Draenor Garrison","35938","0","5"
"wod_category_confirmed","True","8937","Explore Frostfire Ridge","Explore Frostfire Ridge, revealing the covered areas of the world map.","15235","Draenor","35948","0","10"
"wod_category_confirmed","True","8938","Explore Shadowmoon Valley","Explore Shadowmoon Valley, revealing the covered areas of the world map.","15235","Draenor","35949","0","10"
"wod_category_confirmed","True","8939","Explore Gorgrond","Explore Gorgrond, revealing the covered areas of the world map.","15235","Draenor","35950","0","10"
"wod_category_confirmed","True","8940","Explore Talador","Explore Talador, revealing the covered areas of the world map.","15235","Draenor","35951","0","10"
"wod_category_confirmed","True","8941","Explore Spires of Arak","Explore Spires of Arak, revealing the covered areas of the world map.","15235","Draenor","35952","0","10"
"wod_category_confirmed","True","8942","Explore Nagrand","Explore Nagrand, revealing the covered areas of the world map.","15235","Draenor","35953","0","10"
"wod_category_confirmed","True","8947","Hurry Up, Maggot!","Cause the Butcher in Highmaul to slay 6 Maggots before defeating him on Normal difficulty or higher.","15231","Draenor Raid","35956","0","10"
"wod_category_confirmed","True","8948","Flame On!","Defeat Kargath Bladefist in Highmaul without destroying any Fire Pillars on Normal difficulty or higher.","15231","Draenor Raid","35958","0","10"
"wod_category_confirmed","True","8949","Mythic: Kargath Bladefist","Defeat Kargath Bladefist in Highmaul on Mythic difficulty.","15231","Draenor Raid","35962","0","10"
"wod_category_confirmed","True","8952","Ashes, Ashes...","Defeat Blackhand in Blackrock Foundry after catching 20 Falling Ashes on Normal difficulty or higher.","15231","Draenor Raid","35966","0","10"
"wod_category_confirmed","True","8956","Mythic: Beastlord Darmac","Defeat Beastlord Darmac in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","35983","0","10"
"wod_category_confirmed","True","8958","Brothers in Arms","Defeat the Twin Ogron in Highmaul without their Disposition ever exceeding 30% on Normal difficulty or higher.","15231","Draenor Raid","35985","0","10"
"wod_category_confirmed","True","8960","Mythic: The Butcher","Defeat The Butcher in Highmaul on Mythic difficulty.","15231","Draenor Raid","35987","0","10"
"wod_category_confirmed","True","8961","Mythic: Tectus","Defeat Tectus in Highmaul on Mythic difficulty.","15231","Draenor Raid","35989","0","10"
"wod_category_confirmed","True","8962","Mythic: Brackenspore","Defeat Brackenspore in Highmaul on Mythic difficulty.","15231","Draenor Raid","37106","0","10"
"wod_category_confirmed","True","8963","Mythic: Twin Ogron","Defeat the Twin Ogron in Highmaul on Mythic difficulty.","15231","Draenor Raid","37108","0","10"
"wod_category_confirmed","True","8964","Mythic: Ko'ragh","Defeat Ko'ragh in Highmaul on Mythic difficulty.","15231","Draenor Raid","37104","0","10"
"wod_category_confirmed","True","8965","Mythic: Imperator's Fall","Complete the Imperator Mar'gok encounter in Highmaul on Mythic difficulty.","15231","Draenor Raid","37110","0","10"
"wod_category_confirmed","True","8966","Mythic: Gruul","Defeat Gruul in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","35990","0","10"
"wod_category_confirmed","True","8967","Mythic: Oregorger","Defeat Oregorger in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","35992","0","10"
"wod_category_confirmed","True","8968","Mythic: Hans'gar and Franzok","Defeat Hans'gar and Franzok in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","37112","0","10"
"wod_category_confirmed","True","8969","Mythic: Operator Thogar","Defeat Operator Thogar in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","35994","0","10"
"wod_category_confirmed","True","8970","Mythic: Blast Furnace","Complete the Blast Furnace encounter in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","36033","0","10"
"wod_category_confirmed","True","8971","Mythic: Kromog","Defeat Kromog in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","35996","0","10"
"wod_category_confirmed","True","8972","Mythic: Iron Maidens","Defeat the Iron Maidens in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","37114","0","10"
"wod_category_confirmed","True","8973","Mythic: Blackhand's Crucible","Defeat Warlord Blackhand in Blackrock Foundry on Mythic difficulty.","15231","Draenor Raid","35999","0","10"
"wod_category_confirmed","True","8974","More Like Wrecked-us","Defeat Tectus in Highmaul by destroying all eight Motes of Tectus within 10 seconds of each other on Normal difficulty or higher.","15231","Draenor Raid","39612","0","10"
"wod_category_confirmed","True","8975","A Fungus Among Us","Gain 15 stacks of Burning Infusion and then defeat Brackenspore in Highmaul on Normal difficulty or higher.","15231","Draenor Raid","36365","0","10"
"wod_category_confirmed","True","8976","Pair Annihilation","Defeat Ko'ragh in Highmaul with fewer than 15 Overflowing Energy orbs touching the ground or players without Nullification Barrier, on Normal difficulty or higher.","15231","Draenor Raid","36057","0","10"
"wod_category_confirmed","True","8977","Lineage of Power","Empower and defeat a Fortified Replicating Gorian Warmage and then defeat Imperator Mar'gok in Highmaul on Normal difficulty or higher.","15231","Draenor Raid","37072","0","10"
"wod_category_confirmed","True","8978","The Iron Price","Collect 3 Pristine True Iron Ores and then defeat Gruul in Blackrock Foundry in Normal difficulty or higher.","15231","Draenor Raid","36337","0","10"
"wod_category_confirmed","True","8979","He Shoots, He Ores","Deposit the Volatile Ore in the Ore Grinder, and then defeat Oregorger in Blackrock Foundry on Normal difficulty or higher.","15231","Draenor Raid","36059","0","10"
"wod_category_confirmed","True","8980","Stamp Stamp Revolution","Defeat Hans'gar and Franzok in Blackrock Foundry without any raid member being crushed by a stamping press on Normal difficulty or higher.","15231","Draenor Raid","36029","0","10"
"wod_category_confirmed","True","8981","Fain Would Lie Down","Defeat Beastlord Darmac in Blackrock Foundry on Normal difficulty or higher after causing him to mount each beast first:","15231","Draenor Raid","36019","0","10"
"wod_category_confirmed","True","8982","There's Always a Bigger Train","Engineer the ironic demise of an Exulting Wind-Up Train Wrecker in Blackrock Foundry on Normal difficulty or higher.","15231","Draenor Raid","36165","0","10"
"wod_category_confirmed","True","8983","Would You Give Me a Hand?","Defeat 10 Grasping Earth hands within 5 seconds and then defeat Kromog in Blackrock Foundry on Normal difficulty or higher.","15231","Draenor Raid","36254","0","10"
"wod_category_confirmed","True","8984","Be Quick or Be Dead","Defeat the Iron Maidens within 10 seconds of each other in Blackrock Foundry on Normal difficulty or higher.","15231","Draenor Raid","37464","0","10"
"wod_category_confirmed","True","8986","The Walled City","Defeat the bosses in the city section at the base of Highmaul.","15231","Draenor Raid","37116","0","10"
"wod_category_confirmed","True","8987","Arcane Sanctum","Defeat the bosses barring the way from the beach into the interior of the Arcane Sanctum in Highmaul.","15231","Draenor Raid","37120","0","10"
"wod_category_confirmed","True","8988","Imperator's Fall","Defeat Imperator Mar'gok atop his citadel in Highmaul.","15231","Draenor Raid","37125","0","10"
"wod_category_confirmed","True","8989","Slagworks","Defeat the bosses in the Slagworks in Blackrock Foundry.","15231","Draenor Raid","37127","0","10"
"wod_category_confirmed","True","8990","Black Forge","Defeat the bosses in the Black Forge in Blackrock Foundry.","15231","Draenor Raid","37131","0","10"
"wod_category_confirmed","True","8991","Iron Assembly","Defeat the bosses in the Iron Assembly in Blackrock Foundry.","15231","Draenor Raid","37135","0","10"
"wod_category_confirmed","True","8992","Blackhand's Crucible","Defeat Blackhand in Blackrock Foundry.","15231","Draenor Raid","37058","0","10"
"wod_category_confirmed","True","8993","A Gift of Earth and Fire","Defeat Magmolatus while Calamity and Ruination are still alive in Bloodmaul Slag Mines on Heroic difficulty.","15228","Draenor Dungeon","36031","0","10"
"wod_category_confirmed","True","9005","Come With Me If You Want to Live","Defeat Gug'rokk alongside Croman the Barbarian after finding his sword in Bloodmaul Slag Mines on Heroic difficulty.","15228","Draenor Dungeon","36055","0","10"
"wod_category_confirmed","True","9007","No Ticket","Defeat Nitrogg Thundertower after abruptly removing 20 enemies from the Grimrail in Grimrail Depot on Heroic difficulty.","15228","Draenor Dungeon","36200","0","10"
"wod_category_confirmed","True","9008","Is Draenor on Fire?","Defeat Gug'rokk without killing any Unstable Slag in Bloodmaul Slag Mines on Heroic difficulty.","15228","Draenor Dungeon","36073","0","10"
"wod_category_confirmed","True","9017","Water Management","Defeat Witherbark without allowing him to replenish any of his Aqueous Energy in The Everbloom on Heroic difficulty.","15228","Draenor Dungeon","36194","0","10"
"wod_category_confirmed","True","9018","What's Your Sign?","Defeat Sadana Bloodfury while only having the runes that correspond to her active lunar cycle lit in Shadowmoon Burial Grounds on Heroic difficulty.","15228","Draenor Dungeon","36196","0","10"
"wod_category_confirmed","True","9023","...They All Fall Down","Defeat Soulbinder Nyami after defeating 12 fallen Auchenai protectors within 3 seconds in Auchindoun on Heroic difficulty.","15228","Draenor Dungeon","36198","0","10"
"wod_category_confirmed","True","9024","This Is Why We Can't Have Nice Things","Defeat Railmaster Rocketspark and Borka the Brute after destroying all of the Priceless Paraphernalia in Grimrail Depot on Heroic difficulty.","15228","Draenor Dungeon","36214","0","10"
"wod_category_confirmed","True","9025","Icky Ichors","Defeat Bonemaw after having fed him 25 Corpse Skitterlings in Shadowmoon Burial Grounds on Heroic difficulty.","15228","Draenor Dungeon","36218","0","10"
"wod_category_confirmed","True","9026","Souls of the Lost","Defeat Ner'zhul after slaying 2 Ritual of Bones skeletons within 5 seconds of each other in Shadowmoon Burial Grounds on Heroic difficulty.","15228","Draenor Dungeon","36220","0","10"
"wod_category_confirmed","True","9033","Ready for Raiding IV","Defeat Ranjit without taking damage from any of the following abilities in Skyreach on Heroic difficulty: Spinning Blade, Windwall, Four Winds, Lens Flare.","15228","Draenor Dungeon","36833","0","10"
"wod_category_confirmed","True","9034","Magnify... Enhance","Defeat the Empowered Construct in Skyreach on Heroic difficulty.","15228","Draenor Dungeon","36846","0","10"
"wod_category_confirmed","True","9035","I Saw Solis","Cause three Piles of Ash to form Solar Flares at the same time during the Rukhran encounter in Skyreach on Heroic difficulty.","15228","Draenor Dungeon","36848","0","10"
"wod_category_confirmed","True","9036","Monomania","Defeat High Sage Viryx without killing any of the Shield Constructs in Skyreach on Heroic difficulty.","15228","Draenor Dungeon","36920","0","10"
"wod_category_confirmed","True","9037","Bloodmaul Slag Mines","Defeat Gug'rokk in the Bloodmaul Slag Mines.","15228","Draenor Dungeon","37074","0","10"
"wod_category_confirmed","True","9038","Iron Docks","Defeat Skulloc in the Iron Docks.","15228","Draenor Dungeon","38121","0","10"
"wod_category_confirmed","True","9039","Auchindoun","Defeat Teron'gor in Auchindoun.","15228","Draenor Dungeon","37078","0","10"
"wod_category_confirmed","True","9041","Shadowmoon Burial Grounds","Defeat Ner'zhul in Shadowmoon Burial Grounds.","15228","Draenor Dungeon","37086","0","10"
"wod_category_confirmed","True","9042","Upper Blackrock Spire","Defeat Warlord Zaela in Upper Blackrock Spire.","15228","Draenor Dungeon","37090","0","10"
"wod_category_confirmed","True","9043","Grimrail Depot","Defeat Skylord Tovra in Grimrail Depot.","15228","Draenor Dungeon","37082","0","10"
"wod_category_confirmed","True","9044","The Everbloom","Defeat Yalnu in The Everbloom.","15228","Draenor Dungeon","37964","0","10"
"wod_category_confirmed","True","9045","Magnets, How Do They Work?","Defeat Orebender Gor'ashan without allowing him to cast Thundering Cacophony 4 times in Upper Blackrock Spire on Heroic difficulty.","15228","Draenor Dungeon","37070","0","10"
"wod_category_confirmed","True","9046","Heroic: Bloodmaul Slag Mines","Defeat Gug'rokk in the Bloodmaul Slag Mines on Heroic difficulty.","15228","Draenor Dungeon","37076","0","10"
"wod_category_confirmed","True","9047","Heroic: Iron Docks","Defeat Skulloc in the Iron Docks on Heroic difficulty.","15228","Draenor Dungeon","38123","0","10"
"wod_category_confirmed","True","9049","Heroic: Auchindoun","Defeat Teron'gor in Auchindoun on Heroic difficulty.","15228","Draenor Dungeon","37080","0","10"
"wod_category_confirmed","True","9052","Heroic: Grimrail Depot","Defeat Skylord Tovra in Grimrail Depot on Heroic difficulty.","15228","Draenor Dungeon","37084","0","10"
"wod_category_confirmed","True","9053","Heroic: The Everbloom","Defeat Yalnu in The Everbloom on Heroic difficulty.","15228","Draenor Dungeon","37966","0","10"
"wod_category_confirmed","True","9054","Heroic: Shadowmoon Burial Grounds","Defeat Ner'zhul in Shadowmoon Burial Grounds on Heroic difficulty.","15228","Draenor Dungeon","37088","0","10"
"wod_category_confirmed","True","9055","Heroic: Upper Blackrock Spire","Defeat Warlord Zaela in Upper Blackrock Spire on Heroic difficulty.","15228","Draenor Dungeon","37092","0","10"
"wod_category_confirmed","True","9056","Bridge Over Troubled Fire","Kill 20 Ragewing Whelps in 10 seconds while fighting Ragewing the Untamed in Upper Blackrock Spire on Heroic difficulty.","15228","Draenor Dungeon","37094","0","10"
"wod_category_confirmed","True","9057","Dragonmaw? More Like Dragonfall!","Kill 5 Emberscale Ironflight before defeating Warlord Zaela in Upper Blackrock Spire on Heroic difficulty.","15228","Draenor Dungeon","37096","0","10"
"wod_category_confirmed","True","9058","Leeeeeeeeeeeeeroy...?","Assist Leeroy Jenkins in recovering his Devout shoulders in Upper Blackrock Spire on Heroic difficulty.","15228","Draenor Dungeon","37099","0","10"
"wod_category_confirmed","True","9072","Mantle of the Talon King","Complete the Terokk's Legacy storyline and earn Exalted status with the Arakkoa Outcasts.","15232","Draenor","39415","131072","5"
