"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"8671","You'll Get Caught Up In The... Frostfire!","15220","0","34980","Foothold in a Savage Land","24706","27","34775","1","0"
"8671","You'll Get Caught Up In The... Frostfire!","15220","1","34981","Siege of Bladespire Citadel","24370","27","33527","1","0"
"8671","You'll Get Caught Up In The... Frostfire!","15220","2","34982","Defense of Wor'gol","24371","27","33473","1","0"
"8671","You'll Get Caught Up In The... Frostfire!","15220","3","33933","Ga'nar's Vengeance","24366","27","32796","1","0"
"8671","You'll Get Caught Up In The... Frostfire!","15220","4","33932","Thunder's Fall","24705","27","33828","1","0"
"8671","You'll Get Caught Up In The... Frostfire!","15220","5","35725","The Battle of Thunder Pass","24597","27","34124","1","0"
"8843","Skyreach","15228","0","36079","Defeat High Justicar Viryx","24453","0","76266","1","0"
"8844","Heroic: Skyreach","15228","0","36081","","24710","0","76266","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","0","34964","Establishing a Foothold","24355","27","34692","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","1","34968","Shadows Awaken","24359","27","34019","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","2/0","42153","A Sister's Sacrifice","24357","27","34054","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","2/1","42154","A Sister's Sacrifice","27307","27","35093","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","3","34969","The Light Prevails","24360","27","33256","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","4","34967","Gloomshade Grove","24358","27","33271","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","5","36084","The Pursuit of Justice","24713","27","34792","1","0"
"8845","As I Walk Through the Valley of the Shadow of Moon","15220","6","36086","Purifying the Gene Pool","24715","27","35015","1","0"
"8919","Don't Let the Tala-door Hit You on the Way Out","15220","0/0","36069","Establishing your Armory","27688","27","34971","1","0"
"8919","Don't Let the Tala-door Hit You on the Way Out","15220","0/1","36070","Establishing your Mage Tower","27689","27","34712","1","0"
"8919","Don't Let the Tala-door Hit You on the Way Out","15220","1","35782","The Battle for Shattrath","24703","27","33731","1","0"
"8919","Don't Let the Tala-door Hit You on the Way Out","15220","2","36071","The Plight of the Arakkoa","24699","27","33582","1","0"
"8919","Don't Let the Tala-door Hit You on the Way Out","15220","3","36072","In the Shadows of Auchindoun","24704","27","34564","1","0"
"8920","Don't Let the Tala-door Hit You on the Way Out","15220","0/0","36063","Establishing your Armory","27690","27","34981","1","0"
"8920","Don't Let the Tala-door Hit You on the Way Out","15220","0/1","36064","Establishing your Mage Tower","27691","27","34711","1","0"
"8920","Don't Let the Tala-door Hit You on the Way Out","15220","1","36065","The Battle for Shattrath","24698","27","34099","1","0"
"8920","Don't Let the Tala-door Hit You on the Way Out","15220","2","36066","The Plight of the Arakkoa","24699","27","33582","1","0"
"8920","Don't Let the Tala-door Hit You on the Way Out","15220","3","36067","In the Shadows of Auchindoun","24700","27","34154","1","0"
"8921","Welcome to Draenor","15220","0","35792","","25506","27","35884","1","0"
"8922","Welcome to Draenor","15220","0","35790","","25507","27","34446","1","0"
"8923","Putting the Gore in Gorgrond","15220","0","35780","We Need An Outpost","25425","27","35063","1","0"
"8923","Putting the Gore in Gorgrond","15220","1/0","38148","The Sparring Arena","25423","27","35137","1","0"
"8923","Putting the Gore in Gorgrond","15220","1/1/0","39814","Growing Wood","26214","27","35652","1","0"
"8923","Putting the Gore in Gorgrond","15220","1/1/1","39815","Chapter I: Plant Food","26215","27","35654","1","0"
"8923","Putting the Gore in Gorgrond","15220","1/1/2","39816","Chapter II: The Harvest","26216","27","35651","1","0"
"8923","Putting the Gore in Gorgrond","15220","1/1/3","39817","Chapter III: Ritual of the Charred","26217","27","35650","1","0"
"8923","Putting the Gore in Gorgrond","15220","2/0","38149","Chains of Iron","25424","27","35702","1","0"
"8923","Putting the Gore in Gorgrond","15220","2/1","38146","Power of the Genesaur","25430","27","35255","1","0"
"8923","Putting the Gore in Gorgrond","15220","3/0","39062","Strike While the Iron is Hot","27692","27","36575","1","0"
"8923","Putting the Gore in Gorgrond","15220","3/1","39063","Strike While the Iron is Hot","27693","27","36576","1","0"
"8924","Putting the Gore in Gorgrond","15220","0","35778","Your Base, Your Choice","25426","27","35151","1","0"
"8924","Putting the Gore in Gorgrond","15220","1/0","38152","Gladiators of Stonemaul","25428","27","35152","1","0"
"8924","Putting the Gore in Gorgrond","15220","1/1/0","39820","Growing Wood","26219","27","35506","1","0"
"8924","Putting the Gore in Gorgrond","15220","1/1/1","39821","Chapter I: Plant Food","26220","27","35508","1","0"
"8924","Putting the Gore in Gorgrond","15220","1/1/2","39822","Chapter II: The Harvest","26221","27","35527","1","0"
"8924","Putting the Gore in Gorgrond","15220","1/1/3","39823","Chapter III: Ritual of the Charred","26222","27","35524","1","0"
"8924","Putting the Gore in Gorgrond","15220","2/0","38154","Children of the Magnaron","25429","27","35136","1","0"
"8924","Putting the Gore in Gorgrond","15220","2/1","38155","Children of the Genesaur","25421","27","35416","1","0"
"8924","Putting the Gore in Gorgrond","15220","3/0","39065","Strike While the Iron is Hot","27694","27","36573","1","0"
"8924","Putting the Gore in Gorgrond","15220","3/1","39066","Strike While the Iron is Hot","27695","27","36574","1","0"
"8925","Between Arak and a Hard Place","15220","0","39385","Shadows Gather","26023","27","35671","1","0"
"8925","Between Arak and a Hard Place","15220","1","35788","Admiral Taylor's Garrison","26022","27","35482","1","0"
"8925","Between Arak and a Hard Place","15220","2","39386","Secrets of the Talonpriests","26024","27","34942","1","0"
"8925","Between Arak and a Hard Place","15220","3/0","39388","The Gods of Arak","26025","27","35245","1","0"
