"status","current_exists","faction_id","name","parent_faction_id","friendship_rep_id","flags"
"wod_collectible_requirement","True","1358","Nat Pagle","1302","0","26"
"wod_collectible_requirement","True","1445","Frostwolf Orcs","1444","0","0"
"wod_collectible_requirement","True","1515","Arakkoa Outcasts","1444","0","0"
"wod_collectible_requirement","True","1681","Vol'jin's Spear","1444","0","0"
"wod_collectible_requirement","True","1682","Wrynn's Vanguard","1444","0","0"
"wod_collectible_requirement","True","1708","Laughing Skull Orcs","1444","0","0"
"wod_collectible_requirement","True","1710","Sha'tari Defense","1444","0","0"
"wod_collectible_requirement","True","1711","Steamwheedle Preservation Society","1444","0","0"
"wod_collectible_requirement","True","1731","Council of Exarchs","1444","0","0"
"wod_collectible_requirement","True","1733","Delvar Ironfist","1735","0","164"
"wod_collectible_requirement","True","1736","Tormmok","1735","0","160"
"wod_collectible_requirement","True","1737","Talonpriest Ishaal","1735","0","166"
"wod_collectible_requirement","True","1738","Defender Illona","1735","0","162"
"wod_collectible_requirement","True","1739","Vivianne","1735","0","165"
"wod_collectible_requirement","True","1740","Aeda Brightdawn","1735","0","163"
"wod_collectible_requirement","True","1741","Leorajh","1735","0","167"
"wod_collectible_requirement","True","1847","Hand of the Prophet","1444","0","0"
"wod_collectible_requirement","True","1848","Vol'jin's Headhunters","1444","0","0"
"wod_collectible_requirement","True","1849","Order of the Awakened","1444","0","0"
"wod_collectible_requirement","True","1850","The Saberstalkers","1444","0","0"
