"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"4825","Explore Vashj'ir","15069","1","15676","Abandoned Reef","14124","43","2595","1","0"
"4825","Explore Vashj'ir","15069","2","15677","Abyssal Breach","14125","43","2596","1","0"
"4825","Explore Vashj'ir","15069","3","15691","Underlight Canyon","14126","43","2597","1","0"
"4825","Explore Vashj'ir","15069","4","15678","Deepfin Ridge","14127","43","2598","1","0"
"4825","Explore Vashj'ir","15069","5","15679","Korthun's End","14129","43","2600","1","0"
"4825","Explore Vashj'ir","15069","6","15680","L'ghorek","14130","43","2601","1","0"
"4825","Explore Vashj'ir","15069","7","15683","Seabrush","14131","43","2602","1","0"
"4825","Explore Vashj'ir","15069","8","15695","The Scalding Chasm","14132","43","2599","1","0"
"4825","Explore Vashj'ir","15069","9","15681","Glimmerdeep Gorge","14133","43","2611","1","0"
"4825","Explore Vashj'ir","15069","10","15682","Gnaws' Boneyard","14134","43","2604","1","0"
"4825","Explore Vashj'ir","15069","11","15684","Gurboggle's Ledge","14135","43","2605","1","0"
"4825","Explore Vashj'ir","15069","12","15685","The Clutch","14136","43","2606","1","0"
"4825","Explore Vashj'ir","15069","13","15693","Seafarer's Tomb","14137","43","2607","1","0"
"4825","Explore Vashj'ir","15069","14","15686","Legion's Fate","14138","43","2608","1","0"
"4825","Explore Vashj'ir","15069","15","15692","The Skeletal Reef","14139","43","3000","1","0"
"4825","Explore Vashj'ir","15069","16","15687","Beth'mora Ridge","14140","43","2610","1","0"
"4825","Explore Vashj'ir","15069","17","15688","Nespirah","14141","43","2612","1","0"
"4825","Explore Vashj'ir","15069","18","15694","Ruins of Thelserai Temple","14142","43","2613","1","0"
"4825","Explore Vashj'ir","15069","19","15689","Ruins of Vashj'ir","14143","43","2614","1","0"
"4825","Explore Vashj'ir","15069","20","15696","Shimmering Grotto","14144","43","2615","1","0"
"4825","Explore Vashj'ir","15069","21","15690","Silver Tide Hollow","14145","43","2616","1","0"
"4827","Surveying the Damage","15069","1","18353","The Battlescar in Southern Barrens","14068","43","2546","0","0"
"4827","Surveying the Damage","15069","2","18351","The Sundering in Stranglethorn","14060","43","2584","1","0"
"4827","Surveying the Damage","15069","3","18348","The Scar of the Worldbreaker in Badlands","1020","43","2690","0","0"
"4827","Surveying the Damage","15069","4","18352","The Ruins of Auberdine in Darkshore","1314","43","2454","0","0"
"4827","Surveying the Damage","15069","5","18355","The Valley of the Watchers in Tanaris","1407","43","2571","0","0"
"4827","Surveying the Damage","15069","6","18354","Thunder Peak in Ashenvale","14096","43","2432","0","0"
"4827","Surveying the Damage","15069","7","18359","Southfury Watershed in Durotar","14087","43","2473","0","0"
"4827","Surveying the Damage","15069","8","18358","Cenarion Wildlands in Desolace","1373","43","2459","0","0"
"4827","Surveying the Damage","15069","9","18349","The Shimmering Deep in Thousand Needles","1347","43","2639","0","0"
"4827","Surveying the Damage","15069","10","18350","The Greymane Wall in Silverpine","14046","43","314","0","0"
"4827","Surveying the Damage","15069","11","18360","The Raging Chasm in Westfall","14156","43","2989","0","0"
"4827","Surveying the Damage","15069","12","18357","The Stonewrought Dam in Loch Modan","1174","43","2513","0","0"
"4827","Surveying the Damage","15069","13","18356","Ruins of Southshore in Hillsbrad Foothills","15114","43","2751","0","0"
"4833","Blackrock Caverns","15067","1","14954","Ascendant Lord Obsidius","13521","0","39705","1","0"
"4839","Throne of the Tides","15067","1","14860","Ozumat","13525","28","95673","1","0"
"4840","Grim Batol","15067","1","14863","Erudax","13529","0","40484","1","0"
"4841","Halls of Origination","15067","1","16852","Rajh","13536","0","39378","1","0"
"4842","Blackwing Descent","15068","1","15625","Magmaw","13537","0","41570","1","0"
"4842","Blackwing Descent","15068","2","15626","Omnotron Defense System","13538","0","42180","1","0"
"4842","Blackwing Descent","15068","3","15627","Maloriak","13539","0","41378","1","0"
"4842","Blackwing Descent","15068","4","15629","Atramedes","13541","0","41442","1","0"
"4842","Blackwing Descent","15068","5","15628","Chimaeron","13540","0","43296","1","0"
"4842","Blackwing Descent","15068","6","15630","Nefarian","13542","0","41376","1","0"
"4846","The Stonecore","15067","1","17304","High Priestess Azil","13561","0","42333","1","0"
"4847","The Vortex Pinnacle","15067","1","17307","Asaad","13566","0","43875","1","0"
"4848","Lost City of the Tol'vir","15067","1","15209","Siamat, Lord of the South Wind","13572","0","44819","1","0"
"4849","Keeping it in the Family","15068","1","15708","Nefarian","15671","0","41376","1","0"
"4850","The Bastion of Twilight","15068","1","13130","Halfus Wyrmbreaker","13577","0","44600","1","0"
"4850","The Bastion of Twilight","15068","2","13129","Valiona and Theralion","13576","0","45992","1","0"
"4850","The Bastion of Twilight","15068","3","13131","Ascendant Council","13578","0","43735","1","0"
"4850","The Bastion of Twilight","15068","4","13132","Cho'gall","13579","0","43324","1","0"
"4851","Throne of the Four Winds","15068","1","12485","Conclave of Wind","14097","28","88835","1","0"
"4851","Throne of the Four Winds","15068","2","12486","Al'Akir","13581","0","46753","1","0"
"4852","Double Dragon","15068","1","18363","Valiona and Theralion","13576","0","45992","1","0"
"4852","Double Dragon","15068","2","18364","Twilight Fiends killed","16015","0","49864","6","0"
"4863","Explore Hyjal","15069","1","13695","Rim of the World","13795","43","3017","0","0"
"4863","Explore Hyjal","15069","2","13692","The Circle of Cinders","16089","43","3018","0","0"
"4863","Explore Hyjal","15069","3","13693","Ashen Lake","13796","43","2492","0","0"
"4863","Explore Hyjal","15069","4","13696","Darkwhisper Gorge","13797","43","2493","0","0"
"4863","Explore Hyjal","15069","5","13697","Gates of Sothann","13799","43","2495","0","0"
"4863","Explore Hyjal","15069","6","13698","Nordrassil","13800","43","2496","1","0"
"4863","Explore Hyjal","15069","7","13699","Sethria's Roost","13801","43","2497","1","0"
"4863","Explore Hyjal","15069","8","13700","Shrine of Goldrinn","13802","43","2498","1","0"
"4863","Explore Hyjal","15069","9","13702","The Flamewake","13803","43","2499","1","0"
"4863","Explore Hyjal","15069","10","13701","The Scorched Plain","13804","43","2500","1","0"
"4863","Explore Hyjal","15069","11","13694","The Throne of Flame","13805","43","2501","1","0"
"4864","Explore Deepholm","15069","1","15378","Deathwing's Fall","13780","43","2692","0","0"
"4864","Explore Deepholm","15069","2","15373","Needlerock Chasm","15123","43","2693","1","0"
"4864","Explore Deepholm","15069","3","15374","Needlerock Slag","15124","43","2694","1","0"
"4864","Explore Deepholm","15069","4","15368","Stonehearth","15125","43","2696","1","0"
"4864","Explore Deepholm","15069","5","15375","Storm's Fury Wreckage","15126","43","2697","1","0"
