"status","current_exists","currency_id","name","category_id","flags"
"cataclysm_support_confirmed","True","361","Illustrious Jewelcrafter's Token","81",
"cataclysm_support_confirmed","True","384","Dwarf Archaeology Fragment","82",
"cataclysm_support_confirmed","True","385","Troll Archaeology Fragment","82",
"cataclysm_support_confirmed","True","391","Tol Barad Commendation","2",
"cataclysm_support_confirmed","True","393","Fossil Archaeology Fragment","82",
"cataclysm_support_confirmed","True","394","Night Elf Archaeology Fragment","82",
"cataclysm_support_confirmed","True","397","Orc Archaeology Fragment","82",
"cataclysm_support_confirmed","True","398","Draenei Archaeology Fragment","82",
"cataclysm_support_confirmed","True","399","Vrykul Archaeology Fragment","82",
"cataclysm_support_confirmed","True","400","Nerubian Archaeology Fragment","82",
"cataclysm_support_confirmed","True","401","Tol'vir Archaeology Fragment","82",
"cataclysm_support_confirmed","True","416","Mark of the World Tree","81",
"cataclysm_support_confirmed","True","515","Darkmoon Prize Ticket","1",
"cataclysm_support_confirmed","True","614","Mote of Darkness","81",
"cataclysm_support_confirmed","True","615","Essence of Corrupted Deathwing","81",
