"status","release_decision","unavailable","current_exists","official_guide_match","toy_id","item_id","original_item_id","name","source_patch","source_type_enum","flags","source_text"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","16","68806","68806","Kalytha's Haunted Locket","4.0.6","2","0","|cFFFFD200Vendor: |rTex Vortacoil|n|cFFFFD200Zone: |rAzshara|n|cFFFFD200Cost: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","17","70161","70161","Mushroom Chair","4.2.0","2","0","|cFFFFD200Vendor: |rAyla Shadowstorm|n|cFFFFD200Zone: |rMolten Front|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","18","70722","70722","Little Wickerman","4.2.0","6","0","|cFFFFD200World Event:|r Hallow's End|n|cFFFFD200Vendor: |rChub / Dorothy|n|cFFFFD200Zone: |rTirisfal Glades / Stormwind City|n|cFFFFD200Cost: |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","33","64651","64651","Wisp Amulet","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","True","True","False","109","46709","46709","MiniZep Controller","4.0.3","6","0","|cFFFFD200World Event:|r Feast of Winter Veil"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","116","64358","64358","Highborne Soul Mirror","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","117","64361","64361","Druid and Priest Statue Set","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","118","64373","64373","Chalice of the Mountain Kings","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","119","64383","64383","Kaldorei Wind Chimes","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","120","64456","64456","Arrival of the Naaru","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","121","64481","64481","Blessing of the Old God","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","122","64482","64482","Puzzle Box of Yogg-Saron","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
