"status","current_exists","faction_id","name","parent_faction_id","friendship_rep_id","flags"
"mop_collectible_requirement","True","1269","Golden Lotus","1245","1","0"
"mop_collectible_requirement","True","1270","Shado-Pan","1245","1","0"
"mop_collectible_requirement","True","1271","Order of the Cloud Serpent","1245","1","0"
"mop_collectible_requirement","True","1272","The Tillers","1245","1","0"
"mop_collectible_requirement","True","1273","Jogu the Drunk","1272","0","21"
"mop_collectible_requirement","True","1275","Ella","1272","0","17"
"mop_collectible_requirement","True","1276","Old Hillpaw","1272","0","22"
"mop_collectible_requirement","True","1277","Chee Chee","1272","0","16"
"mop_collectible_requirement","True","1278","Sho","1272","0","23"
"mop_collectible_requirement","True","1279","Haohan Mudclaw","1272","0","20"
"mop_collectible_requirement","True","1280","Tina Mudclaw","1272","0","24"
"mop_collectible_requirement","True","1281","Gina Mudclaw","1272","0","19"
"mop_collectible_requirement","True","1282","Fish Fellreed","1272","0","18"
"mop_collectible_requirement","True","1283","Farmer Fung","1272","0","2"
"mop_collectible_requirement","True","1302","The Anglers","1245","1","0"
"mop_collectible_requirement","True","1337","The Klaxxi","1245","1","0"
"mop_collectible_requirement","True","1341","The August Celestials","1245","1","0"
"mop_collectible_requirement","True","1345","The Lorewalkers","1245","1","0"
"mop_collectible_requirement","True","1358","Nat Pagle","1302","0","26"
"mop_collectible_requirement","True","1359","The Black Prince","1245","0","0"
"mop_collectible_requirement","True","1375","Dominance Offensive","1245","1","0"
"mop_collectible_requirement","True","1376","Operation: Shieldwall","1245","1","0"
"mop_collectible_requirement","True","1387","Kirin Tor Offensive","1245","1","0"
"mop_collectible_requirement","True","1388","Sunreaver Onslaught","1245","1","0"
"mop_collectible_requirement","True","1435","Shado-Pan Assault","1245","0","0"
"mop_collectible_requirement","True","1492","Emperor Shaohao","1245","0","0"
