"achievement_id","achievement","tree_id","criterion","completion_quest_id","npc_id","object_id","mapping"
"11261","Adventurer of Azsuna","53815","Unbound Rift","37932","90244",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53816","Syphonus & Leodrath","37989","90505",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53817","Cache of Infernals","38037","90803",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53819","Marius & Tehd versus a Fel Lord","38212","91100",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53820","Tide Behemoth","38217","91113",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53822","Marius & Tehd versus a Doomlord","38352","91579",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53823","Marius & Tehd versus Felbats","42069","105938",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53827","Treacherous Stallions","44081","112637",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53934","Arcanist Shal'iman","42505","107657",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53935","Vorthax","42280","107113",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53936","Inquisitor Tivos","42376","107269",,"att_quest_npc_provider"
"11261","Adventurer of Azsuna","53939","Ravyn-Drath","37537","89016",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53835","Elindya Featherlight","38887","92334",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53836","Antydas Nightcaller","38900",,"242350","att_quest_object_provider"
"11262","Adventurer of Val'sharah","53837","Haunted Manor","39121","94414",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53838","Purging the River","39130","94485",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53840","Grelda the Hag","40126","95123",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53841","Old Bear Trap","39357","95221",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53842","Perrexx the Corruptor","39596","95318",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53843","Wraithtalon","39856","97504",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53844","Dreadbog","39858","97517",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53845","Lyrath Moonfeather","40079","98241",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53846","Undergrell Attack","43176","109708",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53847","Bahagar","43446","110562",,"att_quest_npc_provider"
"11262","Adventurer of Val'sharah","53848","Unguarded Thistleleaf Treasure","38466",,"241128","att_quest_object_provider"
"11262","Adventurer of Val'sharah","53849","Marius & Tehd versus a Satyr","44070","93679",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53851","Glimar Ironfist","38333","91529",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53852","Stormwing Matriarch","38423","91795",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53853","Fathnyr","38425","91803",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53854","Bladesquall","38431","91874",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53855","Thane's Mead Hall","38424","91892",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53856","Fenri","38461","92040",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53857","Whitewater Typhoon","38472","92152",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53858","Worg Pack","38626","92599",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53860","Worgen Stalkers","38627","92152",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53861","Forsaken Deathsquad","38630","91803",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53862","Helmouth Raiders","38642","92685",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53863","Ivory Sentinel","39031","92751",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53864","The Nameless King","38685","92763",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53865","Lost Ettin","38774","93166",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53866","Mordvigbjorn","38837","93371",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53867","Urgev the Flayer","38847","93401",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53868","Isel the Hammer","39120","94413",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53869","Soulthirster","39870","97630",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53870","Egyl the Enduring","40068","98188",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53871","Tarben","40081","98268",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53872","Kottr Vondyr","40109","98421",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53873","Grrvrgull the Conquerer","40113","98503",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53874","Hannval the Butcher","42591","107926",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53875","Roteye","43342","110363",,"att_quest_npc_provider"
"11263","Adventurer of Stormheim","53933","Marius & Tehd versus an Inquisitor","37908","90139",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53878","Skywhisker Taskmaster","39465","95872",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53879","Majestic Elderhorn","39646","96410",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53880","Gurbog da Basher","40347","96590",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53881","Mellok, Son of Torok","40242","96621",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53882","Shara Felbreath","39762","97093",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53883","The Exiled Shaman","39782","97203",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53884","Beastmaster Pao'lek","39784",,"244473","att_quest_object_provider"
"11264","Adventurer of Highmountain","53885","Hartli the Snatcher","39802","97326",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53886","Crawshuk the Hungry","39806","97345",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53888","Bristlemaul","40405","97449",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53889","Scout Harefoot","39866","97579",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53890","The Beastly Boxer","39872",,"244628","att_quest_object_provider"
"11264","Adventurer of Highmountain","53891","Crab Rider Grmlrml","39994","97933",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53892","Luggut the Eggeater","40406","98024",,"att_quest_npc_provider"
"11264","Adventurer of Highmountain","53893","Captured Survivor","40096","98311",,"att_quest_npc_provider"
