"status","release_decision","acquisition_expansion","unavailable","current_exists","toy_id","item_id","name","source_boundary","source_type_enum","flags","source_text"
"classic_source_confirmed","include_classic","classic","False","True","1","1973","Orb of Deception","att_classic","0","0","|cFFFFD200Drop: |rWorld Drop"
"classic_source_confirmed","include_classic","classic","False","True","378","13379","Piccolo of the Flaming Fire","att_classic","0","0","|cFFFFD200Drop: |rHearthsinger Forresten|n|cFFFFD200Zone: |rStratholme"
"classic_source_confirmed","include_classic","classic","False","True","255","17712","Winter Veil Disguise Kit","att_classic","6","0","|cFFFFD200World Event: |rFeast of Winter Veil"
"classic_source_confirmed","include_classic","classic","False","True","239","17716","Snowmaster 9000","att_classic","3","0","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","256","18660","World Enlarger","att_classic","3","0","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","482","18984","Dimensional Ripper - Everlook","att_classic","3","2","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","480","18986","Ultrasafe Transporter: Gadgetzan","att_classic","3","2","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","29","21540","Elune's Lantern","att_classic","1","0","|cFFFFD200Quest: |rElune's Blessing|n|cFFFFD200Zone: |rMoonglade"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","116","64358","Highborne Soul Mirror","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","117","64361","Druid and Priest Statue Set","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","118","64373","Chalice of the Mountain Kings","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","119","64383","Kaldorei Wind Chimes","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","455","64488","The Innkeeper's Daughter","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","123","64646","Bones of Transformation","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","33","64651","Wisp Amulet","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","188","69776","Ancient Amber","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","212","69777","Haunted War Drum","att_classic_source_tree","3","0","|cFFFFD200Profession: |rArchaeology"
"exclude_cross_expansion","exclude_cross_expansion","mists_of_pandaria","False","True","220","88566","Krastinov's Bag of Horrors","att_classic_source_tree","0","0","|cFFFFD200Drop: |rDoctor Theolen Krastinov|n|cFFFFD200Zone: |rScholomance"
"classic_source_confirmed","include_classic","classic","False","True","582","141331","Vial of Green Goo","att_classic_source_tree","0","2","|cFFFFD200Drop:|r Endgineer Omegaplugg|n"
"classic_source_confirmed","include_classic","classic","False","True","1340","208096","Familiar Journal","att_classic_source_tree","10","0","|cFFFFD200Discovery:|r Naxxramas|n"
