"status","release_decision","acquisition_expansion","unavailable","availability_note","current_exists","classic_source_tree_match","att_patch_match","species_id","name","creature_id","summon_spell_id","pet_type_enum","flags","source_type_enum","source_text","original_item_ids","att_nyi"
"classic_acquisition_confirmed","include_classic","classic","False","","True","True","True","39","Mechanical Squirrel","2671","4055","9","2","3","|cFFFFD200Profession: |rEngineering","4401","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","40","Bombay Cat","7385","10673","7","2","2","|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","8485","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","41","Cornish Rex Cat","7384","10674","7","2","2","|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","8486","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","42","Black Tabby Cat","7383","10675","7","2","0","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rHillsbrad Foothills","8491","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","43","Orange Tabby Cat","7382","10676","7","2","2","|cFFFFD200Vendor: |rDonni Anthania, Steven Lisbane|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","8487","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","True","True","44","Siamese Cat","7380","10677","7","2","2","|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","8490","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","45","Silver Tabby Cat","7381","10678","7","2","2","|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","8488","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","46","White Kitten","7386","10679","7","2","2","|cFFFFD200Vendor: |rLil Timmy|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","8489","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","47","Cockatiel","7390","10680","2","2","2","|cFFFFD200Vendor: |rHarry No-Hooks, Narkk|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","8496","False"
"classic_acquisition_confirmed","include_classic","classic","False","","True","False","True","49","Hyacinth Macaw","7391","10682","2","2","0","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rNorthern Stranglethorn, The Cape of Stranglethorn","8494","False"
