"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_id","completion_quest_id","object_id","selection_decision"
"1312","Bloody Rare","0","7953","Ambassador Jerrikar","4504","0","18695","18695","","","include_tbc"
"1312","Bloody Rare","1","7954","Bog Lurker","4505","0","18682","18682","","","include_tbc"
"1312","Bloody Rare","2","7963","Chief Engineer Lorthander","4506","0","18697","18697","","","include_tbc"
"1312","Bloody Rare","3","7972","Coilfang Emissary","4507","0","18681","18681","","","include_tbc"
"1312","Bloody Rare","4","7967","Collidus the Warp-Watcher","4508","0","18694","18694","","","include_tbc"
"1312","Bloody Rare","5","7955","Crippler","4509","0","18689","18689","","","include_tbc"
"1312","Bloody Rare","6","7970","Doomsayer Jurim","4510","0","18686","18686","","","include_tbc"
"1312","Bloody Rare","7","7964","Ever-Core the Punisher","4511","0","18698","18698","","","include_tbc"
"1312","Bloody Rare","8","7956","Fulgorge","4512","0","18678","18678","","","include_tbc"
"1312","Bloody Rare","9","7968","Goretooth","4513","0","17144","17144","","","include_tbc"
"1312","Bloody Rare","10","7957","Hemathion","4514","0","18692","18692","","","include_tbc"
"1312","Bloody Rare","11","7969","Kraator","4515","0","18696","18696","","","include_tbc"
"1312","Bloody Rare","12","7958","Marticar","4516","0","18680","18680","","","include_tbc"
"1312","Bloody Rare","13","7965","Mekthorg the Wild","4517","0","18677","18677","","","include_tbc"
"1312","Bloody Rare","14","7959","Morcrush","4518","0","18690","18690","","","include_tbc"
"1312","Bloody Rare","15","7960","Nuramoc","4519","0","20932","20932","","","include_tbc"
"1312","Bloody Rare","16","7966","Okrek","4520","0","18685","18685","","","include_tbc"
"1312","Bloody Rare","17","7961","Speaker Mar'grom","4521","0","18693","18693","","","include_tbc"
"1312","Bloody Rare","18","7971","Voidhunter Yar","4522","0","18683","18683","","","include_tbc"
"1312","Bloody Rare","19","7962","Vorakem Doomspeaker","4523","0","18679","18679","","","include_tbc"
