"status","release_decision","acquisition_expansion","unavailable","availability_note","current_exists","official_guide_match","tbc_source_tree_match","att_patch_match","species_id","name","creature_id","summon_spell_id","pet_type_enum","flags","source_type_enum","source_text","source_patches","original_item_ids","att_nyi"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","132","Magical Crawdad","18839","33050","8","2","3","|cFFFFD200Fishing:|r Fishing (430)|n|cFFFFD200Zone:|r Terokkar Forest (Fishing Nodes)","2.0.5","27445","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","136","Mana Wyrmling","20408","35156","5","2","2","|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2.0.5","29363","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","True","True","137","Brown Rabbit","20472","35239","4","2","2","|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2.0.5","29364","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","True","138","Blue Moth","21010","35907","2","2","2","|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","2.0.5","29901","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","139","Red Moth","21009","35909","2","2","2","|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2.0.5","29902","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","True","140","Yellow Moth","21008","35910","2","2","2","|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","2.0.5","29903","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","True","141","White Moth","21018","35911","2","2","2","|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","2.0.5","29904","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","True","142","Golden Dragonhawk Hatchling","21055","36027","1","2","2","|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods (Burning Crusade)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","2.0.5","29953","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","True","143","Red Dragonhawk Hatchling","21064","36028","1","2","2","|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods (Burning Crusade)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","2.0.5","29956","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","True","144","Silver Dragonhawk Hatchling","21063","36029","1","2","2","|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods (Burning Crusade)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","2.0.5","29957","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","True","True","145","Blue Dragonhawk Hatchling","21056","36031","1","2","2","|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2.0.5","29958","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","True","True","146","Firefly","21076","36034","2","2","0","|cFFFFD200Drop: |rBogflare Needler|n|cFFFFD200Zone: |rZangarmarsh","2.2.2","29960","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","True","True","149","Miniwing","22445","39181","2","18","1","|cFFFFD200Quest:|r Skywing|n|cFFFFD200Zone:|r Terokkar Forest|n|n","2.0.5","31760","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","False","True","153","Wolpertinger","22943","39709","4","2","6","|cFFFFD200World Event:|r Brewfest","2.2.2","32233","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","False","True","157","Willy","23231","40613","5","131074","6","|cFFFFD200World Event:|r Children's Week","2.1.0","32617","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","False","True","158","Egbert","23258","40614","4","2","6","|cFFFFD200World Event:|r Children's Week","2.1.0","32616","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","False","True","159","Peanut","23266","40634","4","2","6","|cFFFFD200World Event:|r Children's Week","2.1.0","32622","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","False","True","162","Sinister Squashling","23909","42609","6","2","6","|cFFFFD200World Event:|r Hallow's End","2.2.2","33154","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","True","True","163","Toothy","24388","43697","8","2","3","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath","2.4.0","33816","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","164","Muckbreath","24389","43698","8","2","3","|cFFFFD200Profession:|r Fishing|n|cFFFFD200Zone:|r Shattrath","2.4.0","33818","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","True","True","165","Mojo","24480","43918","8","131074","0","|cFFFFD200Drop:|r Forest Frog|n|cFFFFD200Zone:|r Zul'Aman (Dungeon)","2.3.0","33993","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","167","Tiny Sporebat","25062","45082","2","2","2","|cFFFFD200Vendor: |rMycah|n|cFFFFD200Zone: |rZangarmarsh|n|cFFFFD200Faction: |rSporeggar - Exalted|n|cFFFFD200Cost: |r30|TINTERFACE\ICONS\INV_Mushroom_02:0|t","2.3.0","34478","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","False","True","172","Searing Scorchling","25706","45890","6","131074","2","|cFFFFD200Vendor:|r Zen'Vorka|n|cFFFFD200Zone:|r Molten Front|n|cFFFFD200Cost: |r30|TINTERFACE\ICONS\INV_MISC_MARKOFTHEWORLDTREE.BLP:0|t","2.4.0","34955","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","173","Snarly","26050","46425","8","2","3","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath","2.4.0","35349","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","174","Chuck","26056","46426","8","2","3","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath","2.4.0","35350","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","175","Phoenix Hatchling","26119","46599","6","2","0","|cFFFFD200Drop: |rKael'thas Sunstrider|n|cFFFFD200Zone: |rMagisters' Terrace","2.4.0","35504","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","True","True","186","Nether Ray Fry","28470","51716","2","2","2","|cFFFFD200Vendor: |rGrella|n|cFFFFD200Zone: |rTerokkar Forest|n|cFFFFD200Faction: |rSha'tari Skyguard - Exalted|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2.4.2","38628","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","False","False","True","191","Clockwork Rocket Bot","24968","54187","9","131074","6","|cFFFFD200World Event:|r Feast of Winter Veil","2.3.0","34425","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","False","432","Stripe-Tailed Scorpid","61440","0","7","24","4","|cFFFFD200Pet Battle: |rBadlands, Tanaris, Terokkar Forest","","","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","False","460","Ruby Sapling","62020","0","6","26","4","|cFFFFD200Pet Battle: |rEversong Woods (Burning Crusade)","","","False"
"tbc_acquisition_confirmed","include_tbc","the_burning_crusade","False","","True","True","False","False","464","Grey Moth","62050","0","2","26","4","|cFFFFD200Pet Battle: |rAzuremyst Isle","","","False"
