"status","current_exists","map_id","name","parent_map_id","map_type","flags"
"tbc_support_confirmed","True","94","Eversong Woods","13","3","6"
"tbc_support_confirmed","True","95","Ghostlands","13","3","6"
"tbc_support_confirmed","True","97","Azuremyst Isle","12","3","6"
"tbc_support_confirmed","True","100","Hellfire Peninsula","101","3","6"
"tbc_support_confirmed","True","101","Outland","946","2","0"
"tbc_support_confirmed","True","102","Zangarmarsh","101","3","6"
"tbc_support_confirmed","True","103","The Exodar","12","3","6"
"tbc_support_confirmed","True","104","Shadowmoon Valley","101","3","6"
"tbc_support_confirmed","True","105","Blade's Edge Mountains","101","3","6"
"tbc_support_confirmed","True","106","Bloodmyst Isle","12","3","6"
"tbc_support_confirmed","True","107","Nagrand","101","3","6"
"tbc_support_confirmed","True","108","Terokkar Forest","101","3","6"
"tbc_support_confirmed","True","109","Netherstorm","101","3","6"
"tbc_support_confirmed","True","110","Silvermoon City","13","3","6"
"tbc_support_confirmed","True","111","Shattrath City","101","3","6"
"tbc_support_confirmed","True","122","Isle of Quel'Danas","13","3","6"
