"status","faction_id","name","parent_faction_id","renown_currency_id","friendship_rep_id","flags"
"internal_dnt","1072","[DNT] AC Major Faction Child Renown Test","2503","0","0","0"
"dragonflight_expansion_signal","2503","Maruuk Centaur","2506","2002","0","2"
"dragonflight_expansion_signal","2504","Maruuk Centaur (Paragon)","2506","0","0","2"
"dragonflight_expansion_signal","2506","Dragonflight","0","0","0","0"
"dragonflight_expansion_signal","2507","Dragonscale Expedition","2506","2021","0","2"
"dragonflight_expansion_signal","2508","Dragonscale Expedition (Paragon)","2506","0","0","2"
"dragonflight_expansion_signal","2509","Clan Shikaar","2503","0","0","0"
"dragonflight_expansion_signal","2510","Valdrakken Accord","2506","2088","0","2"
"dragonflight_expansion_signal","2511","Iskaara Tuskarr","2506","2087","0","2"
"dragonflight_expansion_signal","2512","Clan Aylaag","2503","0","0","0"
"dragonflight_expansion_signal","2513","Clan Ohn'ir","2503","0","0","0"
"dragonflight_expansion_signal","2517","Wrathion","2510","0","396","0"
"dragonflight_expansion_signal","2518","Sabellian","2510","0","397","0"
"dragonflight_expansion_signal","2521","Clan Nokhud (Paragon)","2506","0","0","0"
"dragonflight_expansion_signal","2522","Clan Teerai","2503","0","0","0"
"dragonflight_expansion_signal","2523","Dark Talons","67","0","0","0"
"dragonflight_expansion_signal","2524","Obsidian Warders","469","0","0","0"
"dragonflight_expansion_signal","2551","Iskaara Tuskarr (Paragon)","2506","0","0","2"
"dragonflight_expansion_signal","2552","Valdrakken Accord (Paragon)","2506","0","0","2"
"dragonflight_expansion_signal","2553","Soridormi","2510","0","411","0"
"dragonflight_expansion_signal","2564","Loamm Niffen","2506","2402","0","2"
"dragonflight_expansion_signal","2565","Loamm Niffen (Paragon)","2506","0","0","2"
"dragonflight_expansion_signal","2574","Dream Wardens","2506","2653","0","2"
"dragonflight_expansion_signal","2575","Dream Wardens (Paragon)","2506","0","0","2"
"dragonflight_expansion_signal","2593","Keg Leg's Crew","0","2814","0","2"
"dragonflight_expansion_signal","2604","Keg Leg's Crew (Paragon)","0","0","0","2"
"dragonflight_expansion_signal","2615","Azerothian Archives","2507","0","419","0"
"dragonflight_expansion_signal","2616","Keg Leg Thrasher","2506","2814","0","0"
