"status","release_decision","current_exists","toy_id","item_id","name","item_expansion_id","source_type_enum","flags","source_text"
"guide_confirmed","include_dragonflight","True","1190","192495","Malfunctioning Stealthman 54","9","3","0","|cFFFFD200Profession:|r Dragon Isles Engineering"
"guide_confirmed","include_dragonflight","True","1191","193032","Jeweled Offering","9","3","0","|cFFFFD200Profession:|r Dragon Isles Jewelcrafting|n"
"guide_confirmed","include_dragonflight","True","1193","193033","Convergent Prism","9","3","0","|cFFFFD200Profession:|r Dragon Isles Jewelcrafting|n"
"guide_confirmed","include_dragonflight","True","1194","193478","Tuskarr Beanbag","9","3","0","|cFFFFD200Profession:|r Leatherworking|n"
"guide_confirmed","include_dragonflight","True","1195","193476","Gnoll Tent","9","3","0","|cFFFFD200Profession:|r Leatherworking|n"
"guide_confirmed","include_dragonflight","True","1196","197719","Artisan's Sign","9","3","0","|cFFFFD200Profession:|r Leatherworking"
"guide_confirmed","include_dragonflight","True","1197","197961","Whelps on Strings","9","5","2","|cFFFFD200Achievement: |rDaycare Derby|n|cFFFFD200Category: |rDragonflight"
"guide_confirmed","include_dragonflight","True","1198","197986","Murglasses","9","5","0","|cFFFFD200Achievement: |rThe Joy of Toy|n|cFFFFD200Category: |rToy Box"
"guide_confirmed","include_dragonflight","True","1199","198039","Rock of Appreciation","9","-1","0","|cFFFFD200Quest: |rEmotional Support Companions|n|cFFFFD200Zone: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","1200","198090","Jar of Excess Slime","9","0","0","|cFFFFD200Quest:|r One Bad Apple|n|cFFFFD200Zone:|r Azure Span"
"guide_confirmed","include_dragonflight","True","1201","198402","Maruuk Cooking Pot","9","-1","4","|cFFFFD200Faction: |rMaruuk Centaur - Renown 3"
"guide_confirmed","include_dragonflight","True","1202","198409","Personal Shell","9","-1","0","|cFFFFD200Drop: |rSunscale Behemoth|n|cFFFFD200Zone: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","1203","198428","Tuskarr Dinghy","9","0","0","|cFFFFD200Achievement:|r River Rapids Wrangler"
"guide_confirmed","include_dragonflight","True","1204","194052","Forlorn Funeral Pall","9","3","0","|cFFFFD200Profession:|r Tailoring|n"
"guide_confirmed","include_dragonflight","True","1205","198474","Artist's Easel","9","0","0","|cFFFFD200Quest:|r Happy Little Accidents"
"guide_confirmed","include_dragonflight","True","1206","198537","Taivan's Trumpet","9","-1","0","|cFFFFD200Quest: |rTaivan's Purpose|n|cFFFFD200Zone: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","1207","198227","Giggle Goggles","9","-1","0","|cFFFFD200Profession: |rDragon Isles Engineering"
"guide_confirmed","include_dragonflight","True","1208","198646","Ornate Dragon Statue","8","2","0","|cFFFFD200Vendor: |rEmilia Bellocq|n|cFFFFD200Zone: |rThe Waking Shores|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"guide_confirmed","include_dragonflight","True","1209","198827","Magical Snow Sled","9","0","0","|cFFFFD200Faction: |rIskaara Tuskarr|n|cFFFFD200Renown: |r26|n|cFFFFD200Vendor: |rKiopo|n|cFFFFD200Zone: |rThe Azure Span"
"guide_confirmed","include_dragonflight","True","1210","194060","Dragonscale Expedition's Expedition Tent","9","3","0","|cFFFFD200Profession:|r Tailoring|n"
"guide_confirmed","include_dragonflight","True","1211","198264","Centralized Precipitation Emitter","9","-1","0","|cFFFFD200Profession: |rDragon Isles Engineering"
"guide_confirmed","include_dragonflight","True","1212","198206","Environmental Emulator","9","-1","0","|cFFFFD200Profession: |rDragon Isles Engineering"
"guide_confirmed","include_dragonflight","True","1213","198857","Lucky Duck","9","1","0","|cFFFFD200Quest:|r Friend on the Mend|n|cFFFFD200Zone:|r Waking Shores"
"guide_confirmed","include_dragonflight","True","1214","194056","Duck-Stuffed Duck Lovie","9","3","0","|cFFFFD200Profession:|r Tailoring|n"
"item_expansion_confirmed","include_dragonflight","True","1215","198156","Wyrmhole Generator: Dragon Isles","9","-1","2","|cFFFFD200Profession: |rDragon Isles Engineering"
"guide_confirmed","include_dragonflight","True","1217","194057","Cushion of Time Travel","9","3","0","|cFFFFD200Profession:|r Tailoring|n"
"guide_confirmed","include_dragonflight","True","1218","194058","Cold Cushion","9","3","0","|cFFFFD200Profession:|r Tailoring|n"
"guide_confirmed","include_dragonflight","True","1219","194059","Market Tent","9","3","0","|cFFFFD200Profession:|r Tailoring|n"
"guide_confirmed","include_dragonflight","True","1220","199554","S.E.A.T.","9","3","0","|cFFFFD200Profession:|r Dragon Isles Engineering|n"
"item_expansion_confirmed","include_dragonflight","True","1221","199830","Tuskarr Training Dummy","9","1","0","|cFFFFD200Quest:|r Testing the Tuskarrsenal"
"guide_confirmed","include_dragonflight","True","1222","199337","Bag of Furious Winds","9","2","0","|cFFFFD200Vendor: |rStorm Hunter William|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r100|Hitem:199211|h|TInterface\ICONS\INV_Enchant_EssenceCosmicGreater.blp:0|t|h|n|n|cFFFFD200Vendor: |rStorm Huntress Suhrakka|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r100|Hitem:199211|h|TInterface\ICONS\INV_Enchant_EssenceCosmicGreater.blp:0|t|h"
"guide_confirmed","exclude_unobtainable_or_internal","True","1224","200142",,,"0","2","|n"
"guide_confirmed","include_dragonflight","True","1225","200148","A Collection of Me","9","0","0","|cFFFFD200Drop: |rDragon Isles, Temporally Altered Creatures"
"guide_confirmed","include_dragonflight","True","1226","200160","Notfar's Favorite Food","9","0","0","|cFFFFD200Drop: |rNotfar the Unbearable|n|cFFFFD200Zone: |rThe Azure Span"
"guide_confirmed","include_dragonflight","True","1227","200198","Primalist Prison","9","-1","0","|cFFFFD200Drop: |rDragon Isles Primalists"
"guide_confirmed","include_dragonflight","True","1228","200178","Infected Ichor","9","-1","0","|cFFFFD200Drop:|r Blightpaw the Depraved, Blightfur, or High Shaman Rotknuckle"
"guide_confirmed","include_dragonflight","True","1229","200249","Mage's Chewed Wand","9","-1","0","|cFFFFD200Drop:|r Dragon Isles rares"
"guide_confirmed","include_dragonflight","True","1230","200469","Khadgar's Disenchanting Rod","9","3","0","|cFFFFD200Profession:|r Dragon Isles Enchanting"
"guide_confirmed","include_dragonflight","True","1231","191891","Professor Chirpsnide's Im-PECK-able Harpy Disguise","9","1","0","|cFFFFD200Quest: |rThe Awaited Egg-splosion|n|cFFFFD200Zone: |rThaldraszus"
"guide_confirmed","include_dragonflight","True","1232","200550","Very Comfortable Pelt","9","2","0","|cFFFFD200Faction: |rMaruuk Centaurs|n|cFFFFD200Vendor: |rQuartermaster Huseng|n|cFFFFD200Zone: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","1233","200551","Comfortable Pile of Pelts","9","2","0","|cFFFFD200Faction: |rMaruuk Centaurs|n|cFFFFD200Vendor: |rQuartermaster Huseng|n|cFFFFD200Zone: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","1234","200597","Lover's Bouquet","9","-1","0","|cFFFFD200Quest: |rAfter My Ohn Heart|n|cFFFFD200Zone: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","1235","200628","Somewhat-Stabilized Arcana","9","1","0","|cFFFFD200Quest: |rA Helping Claw|n|cFFFFD200Zone: |rThe Azure Span"
"guide_confirmed","include_dragonflight","True","1236","200630","Ohn'ir Windsage's Hearthstone","0","-1","0","|cFFFFD200Achievement:|r Honor Our Ancestors"
"guide_confirmed","include_dragonflight","True","1237","200636","Primal Invocation Quintessence","9","-1","0","|cFFFFD200Reward:|r Supreme Invocation|n"
