"status","release_decision","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text"
"guide_confirmed","include_dragonflight","True","3256","Jeweled Onyx Whelpling","186844","369723","191126;193889","9","1","2","3","|cFFFFD200Profession:|r Jewelcrafting|n"
"guide_confirmed","include_dragonflight","True","3259","Shaggy","188709","371534","191915","0","4","2","0","|cFFFFD200Treasure: |rSack of Oddities"
"guide_confirmed","include_dragonflight","True","3261","Wakyn","188821","371594","191930","0","5","2","0","|cFFFFD200Drop: |rWarden Entrix|n|cFFFFD200Zone: |rThe Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3262","Violet Violence","188849","371621","191932","0","7","82","5","|cFFFFD200Achievement:|r What Can I Say? They Love Me.|n"
"guide_confirmed","include_dragonflight","True","3263","Secretive Frogduck","188861","371636","191936","0","8","82","5","|cFFFFD200Achievement:|r Proven Pet Parent"
"guide_confirmed","include_dragonflight","True","3264","Crystalline Mini-Monster","188885","371655","191941","0","5","82","5","|cFFFFD200Achievement:|r Many More Mini Minions"
"guide_confirmed","include_dragonflight","True","3265","Mister Muskoxeles","188901","371675","191946","0","7","16496","5","|cFFFFD200Achievement:|r Good Things Come in Small Packages"
"guide_confirmed","include_dragonflight","True","3269","Azure Frillfish","189663","372585","193852","0","8","2","0","|cFFFFD200Treasure:|r Bubble Drifter|n|cFFFFD200Zone: |rThe Waking Shores"
"guide_confirmed","include_dragonflight","True","3270","Jean's Lucky Fish","189695","372750","192459","0","8","2","2","|cFFFFD200Vendor: |rPatchu|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r300|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
"guide_confirmed","include_dragonflight","True","3274","Alvin the Anvil","189095","378738","191886","9","9","2","3","|cFFFFD200Profession:|r Blacksmithing|n"
"guide_confirmed","include_dragonflight","True","3275","Chestnut","189096","374600","193066","0","4","2","0","|cFFFFD200Treasure:|r Acorn Harvester|n|cFFFFD200Zone:|r Thaldraszus|n"
"guide_confirmed","include_dragonflight","True","3278","Pistachio","189099","374734","193071","0","4","2","2","|cFFFFD200Vendor: |rPatchu|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r50|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
"guide_confirmed","include_dragonflight","True","3279","Bronze Racing Enthusiast","189101","387685","199688","0","1","82","5","|cFFFFD200Achievement:|r Dragon Racing Completionist - Silver|n"
