"status","current_exists","map_id","name","parent_map_id","system","type","flags"
"primary_map_confirmed","True","371","The Jade Forest","424","0","3","6"
"primary_map_confirmed","True","376","Valley of the Four Winds","424","0","3","6"
"primary_map_confirmed","True","379","Kun-Lai Summit","424","0","3","6"
"primary_map_confirmed","True","388","Townlong Steppes","424","0","3","6"
"primary_map_confirmed","True","390","Vale of Eternal Blossoms","424","0","3","6"
"primary_map_confirmed","True","418","Krasarang Wilds","424","0","3","6"
"primary_map_confirmed","True","422","Dread Wastes","424","0","3","6"
"primary_map_confirmed","True","424","Pandaria","947","0","2","0"
"primary_map_confirmed","True","433","The Veiled Stair","424","0","3","6"
"primary_map_confirmed","True","504","Isle of Thunder","424","0","3","6"
"primary_map_confirmed","True","507","Isle of Giants","424","0","3","6"
"primary_map_confirmed","True","554","Timeless Isle","424","0","3","6"
