"status","current_ability_exists","current_spell_name_exists","profession","profession_id","recipe_spell_id","name","skill_line_ability_id","trade_category_id","acquire_method","supercedes_spell_id"
"named_recipe","True","True","Alchemy","171","425137","Recraft Equipment","51331","1944","1","0"
"named_recipe","True","True","Alchemy","171","427174","Wild Experimentation","49270","1944","1","0"
"named_recipe","True","True","Alchemy","171","427185","Algari Alchemist Stone","49271","1977","0","0"
"named_recipe","True","True","Alchemy","171","427214","Neutralize Concoctions","49272","1972","1","0"
"named_recipe","True","True","Alchemy","171","430315","Thaumaturgy","49374","1944","0","0"
"named_recipe","True","True","Alchemy","171","430345","Meticulous Experimentation","49375","1944","0","0"
"named_recipe","True","True","Alchemy","171","430590","Algari Healing Potion","49615","1979","1","0"
"named_recipe","True","True","Alchemy","171","430591","Algari Mana Potion","49617","1979","0","0"
"named_recipe","True","True","Alchemy","171","430592","Cavedweller's Delight","49618","1979","0","0"
"named_recipe","True","True","Alchemy","171","430593","Slumbering Soul Serum","49619","1979","0","0"
"named_recipe","True","True","Alchemy","171","430594","Draught of Silent Footfalls","49620","1973","0","0"
"named_recipe","True","True","Alchemy","171","430595","Draught of Shocking Revelations","49621","1973","0","0"
"named_recipe","True","True","Alchemy","171","430596","Grotesque Vial","49622","1973","0","0"
"named_recipe","True","True","Alchemy","171","430597","Potion of Unwavering Focus","49623","1973","0","0"
"named_recipe","True","True","Alchemy","171","430598","Frontline Potion","49624","1973","0","0"
"named_recipe","True","True","Alchemy","171","430599","Tempered Potion","49625","1973","0","0"
"named_recipe","True","True","Alchemy","171","430600","Potion of the Reborn Cheetah","49626","1973","0","0"
"named_recipe","True","True","Alchemy","171","430601","Flask of Tempered Aggression","49627","1974","0","0"
"named_recipe","True","True","Alchemy","171","430602","Flask of Tempered Swiftness","49628","1974","0","0"
"named_recipe","True","True","Alchemy","171","430603","Flask of Tempered Versatility","49629","1974","0","0"
"named_recipe","True","True","Alchemy","171","430604","Flask of Tempered Mastery","49630","1974","0","0"
"named_recipe","True","True","Alchemy","171","430605","Flask of Alchemical Chaos","49631","1974","0","0"
"named_recipe","True","True","Alchemy","171","430607","Vicious Flask of Classical Spirits","49633","1980","0","0"
"named_recipe","True","True","Alchemy","171","430608","Vicious Flask of Honor","49634","1980","0","0"
"named_recipe","True","True","Alchemy","171","430611","Vicious Flask of the Wrecking Ball","49636","1980","0","0"
"named_recipe","True","True","Alchemy","171","430612","Flask of Saving Graces","49637","1974","0","0"
"named_recipe","True","True","Alchemy","171","430614","Phial of Concentrated Ingenuity","49639","1975","0","0"
"named_recipe","True","True","Alchemy","171","430615","Phial of Truesight","49640","1975","0","0"
"named_recipe","True","True","Alchemy","171","430616","Phial of Enhanced Ambidexterity","49641","1975","0","0"
"named_recipe","True","True","Alchemy","171","430617","Phial of Bountiful Seasons","49642","1975","0","0"
"named_recipe","True","True","Alchemy","171","430618","Mercurial Blessings","49643","1976","0","0"
"named_recipe","True","True","Alchemy","171","430619","Mercurial Storms","49644","1976","0","0"
"named_recipe","True","True","Alchemy","171","430620","Volatile Weaving","49645","1976","0","0"
"named_recipe","True","True","Alchemy","171","430621","Volatile Stone","49646","1976","0","0"
"named_recipe","True","True","Alchemy","171","430622","Ominous Call","49647","1976","0","0"
