"status","current_exists","map_id","name","parent_map_id","map_type","flags"
"classic_support_confirmed","True","1","Durotar","12","3","6"
"classic_support_confirmed","True","7","Mulgore","12","3","6"
"classic_support_confirmed","True","10","Northern Barrens","12","3","6"
"classic_support_confirmed","True","12","Kalimdor","947","2","0"
"classic_support_confirmed","True","13","Eastern Kingdoms","947","2","0"
"classic_support_confirmed","True","14","Arathi Highlands","13","3","6"
"classic_support_confirmed","True","15","Badlands","13","3","6"
"classic_support_confirmed","True","17","Blasted Lands","13","3","6"
"classic_support_confirmed","True","18","Tirisfal Glades","13","3","6"
"classic_support_confirmed","True","21","Silverpine Forest","13","3","6"
"classic_support_confirmed","True","22","Western Plaguelands","13","3","6"
"classic_support_confirmed","True","23","Eastern Plaguelands","13","3","6"
"classic_support_confirmed","True","25","Hillsbrad Foothills","13","3","6"
"classic_support_confirmed","True","26","The Hinterlands","13","3","6"
"classic_support_confirmed","True","27","Dun Morogh","13","3","6"
"classic_support_confirmed","True","32","Searing Gorge","13","3","6"
"classic_support_confirmed","True","36","Burning Steppes","13","3","6"
"classic_support_confirmed","True","37","Elwynn Forest","13","3","6"
"classic_support_confirmed","True","42","Deadwind Pass","13","3","6"
"classic_support_confirmed","True","47","Duskwood","13","3","6"
"classic_support_confirmed","True","48","Loch Modan","13","3","6"
"classic_support_confirmed","True","49","Redridge Mountains","13","3","6"
"classic_support_confirmed","True","50","Northern Stranglethorn","224","3","6"
"classic_support_confirmed","True","51","Swamp of Sorrows","13","3","6"
"classic_support_confirmed","True","52","Westfall","13","3","6"
"classic_support_confirmed","True","56","Wetlands","13","3","6"
"classic_support_confirmed","True","57","Teldrassil","12","3","6"
"classic_support_confirmed","True","62","Darkshore","12","3","6"
"classic_support_confirmed","True","63","Ashenvale","12","3","6"
"classic_support_confirmed","True","64","Thousand Needles","12","3","6"
"classic_support_confirmed","True","65","Stonetalon Mountains","12","3","6"
"classic_support_confirmed","True","66","Desolace","12","3","6"
"classic_support_confirmed","True","69","Feralas","12","3","6"
"classic_support_confirmed","True","70","Dustwallow Marsh","12","3","6"
"classic_support_confirmed","True","71","Tanaris","12","3","6"
"classic_support_confirmed","True","76","Azshara","12","3","6"
"classic_support_confirmed","True","77","Felwood","12","3","6"
"classic_support_confirmed","True","78","Un'Goro Crater","12","3","6"
"classic_support_confirmed","True","80","Moonglade","12","3","6"
"classic_support_confirmed","True","81","Silithus","12","3","6"
"classic_support_confirmed","True","83","Winterspring","12","3","6"
"classic_support_confirmed","True","84","Stormwind City","13","3","7"
"classic_support_confirmed","True","85","Orgrimmar","12","3","7"
"classic_support_confirmed","True","87","Ironforge","13","3","6"
"classic_support_confirmed","True","88","Thunder Bluff","12","3","6"
"classic_support_confirmed","True","89","Darnassus","12","3","7"
"classic_support_confirmed","True","90","Undercity","13","3","6"
"classic_support_confirmed","True","91","Alterac Valley","25","6","0"
"classic_support_confirmed","True","92","Warsong Gulch","10","6","0"
"classic_support_confirmed","True","93","Arathi Basin","14","6","0"
"classic_support_confirmed","True","199","Southern Barrens","12","3","6"
"classic_support_confirmed","True","224","Stranglethorn Vale","13","3","6"
