"status","current_exists","faction_id","name","parent_faction_id"
"classic_support_confirmed","True","21","Booty Bay","169"
"classic_support_confirmed","True","47","Ironforge","469"
"classic_support_confirmed","True","54","Gnomeregan","469"
"classic_support_confirmed","True","59","Thorium Brotherhood","1118"
"classic_support_confirmed","True","68","Undercity","67"
"classic_support_confirmed","True","69","Darnassus","469"
"classic_support_confirmed","True","70","Syndicate","1118"
"classic_support_confirmed","True","72","Stormwind","469"
"classic_support_confirmed","True","76","Orgrimmar","67"
"classic_support_confirmed","True","81","Thunder Bluff","67"
"classic_support_confirmed","True","87","Bloodsail Buccaneers","1118"
"classic_support_confirmed","True","92","Gelkis Clan Centaur","1118"
"classic_support_confirmed","True","93","Magram Clan Centaur","1118"
"classic_support_confirmed","True","270","Zandalar Tribe","1118"
"classic_support_confirmed","True","349","Ravenholdt","1118"
"classic_support_confirmed","True","369","Gadgetzan","169"
"classic_support_confirmed","True","470","Ratchet","169"
"classic_support_confirmed","True","509","The League of Arathor","891"
"classic_support_confirmed","True","510","The Defilers","892"
"classic_support_confirmed","True","529","Argent Dawn","1118"
"classic_support_confirmed","True","530","Darkspear Trolls","67"
"classic_support_confirmed","True","576","Timbermaw Hold","1118"
"classic_support_confirmed","True","577","Everlook","169"
"classic_support_confirmed","True","589","Wintersaber Trainers","1118"
"classic_support_confirmed","True","609","Cenarion Circle","1118"
"classic_support_confirmed","True","729","Frostwolf Clan","892"
"classic_support_confirmed","True","730","Stormpike Guard","891"
"classic_support_confirmed","True","749","Hydraxian Waterlords","1118"
"classic_support_confirmed","True","809","Shen'dralar","1118"
"classic_support_confirmed","True","889","Warsong Outriders","892"
"classic_support_confirmed","True","890","Silverwing Sentinels","891"
"classic_support_confirmed","True","909","Darkmoon Faire","1118"
"classic_support_confirmed","True","910","Brood of Nozdormu","1118"
