"status","current_exists","currency_id","name","category_id","flags"
"wrath_support_confirmed","True","61","Dalaran Jewelcrafter's Token","21",
"wrath_support_confirmed","True","81","Epicurean's Award","1",
"wrath_support_confirmed","True","101","Emblem of Heroism","22",
"wrath_support_confirmed","True","102","Emblem of Valor","22",
"wrath_support_confirmed","True","124","Strand of the Ancients Mark of Honor","2",
"wrath_support_confirmed","True","126","Wintergrasp Mark of Honor","2",
"wrath_support_confirmed","True","161","Stone Keeper's Shard","2",
"wrath_support_confirmed","True","201","Venture Coin","2",
"wrath_support_confirmed","True","221","Emblem of Conquest","22",
"wrath_support_confirmed","True","241","Champion's Seal","21",
"wrath_support_confirmed","True","301","Emblem of Triumph","22",
"wrath_support_confirmed","True","321","Isle of Conquest Mark of Honor","2",
"wrath_support_confirmed","True","341","Emblem of Frost","22",
