"status","current_exists","map_id","name","parent_map_id","map_type","flags"
"wrath_support_confirmed","True","113","Northrend","947","2","0"
"wrath_support_confirmed","True","114","Borean Tundra","113","3","6"
"wrath_support_confirmed","True","115","Dragonblight","113","3","6"
"wrath_support_confirmed","True","116","Grizzly Hills","113","3","6"
"wrath_support_confirmed","True","117","Howling Fjord","113","3","6"
"wrath_support_confirmed","True","118","Icecrown","113","3","6"
"wrath_support_confirmed","True","119","Sholazar Basin","113","3","6"
"wrath_support_confirmed","True","120","The Storm Peaks","113","3","6"
"wrath_support_confirmed","True","121","Zul'Drak","113","3","6"
"wrath_support_confirmed","True","123","Wintergrasp","113","3","6"
"wrath_support_confirmed","True","125","Dalaran","127","4","0"
"wrath_support_confirmed","True","127","Crystalsong Forest","113","3","6"
"wrath_support_confirmed","True","170","Hrothgar's Landing","113","3","6"
