"status","release_decision","acquisition_expansion","unavailable","current_exists","official_guide_match","toy_id","item_id","original_item_id","name","source_patch","source_type_enum","flags","source_text"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","34","43499","43499","Iron Boot Flask","3.0.3","2","0","|cFFFFD200Vendor: |rOlut Alegut, Rork Sharpchin|n|cFFFFD200Zone: |rThe Storm Peaks|n|cFFFFD200Cost: |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","101","37254","37254","Super Simian Sphere","3.0.3","0","0","|cFFFFD200Drop: |rNorthrend - World Drop"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","103","44430","44430","Titanium Seal of Dalaran","3.0.3","5","0","|cFFFFD200Achievement: |rThe Coin Master|n|cFFFFD200Category: |rFishing"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","112","52201","52201","Muradin's Favor","3.3.3","1","0","|cFFFFD200Quest: |rMuradin's Lament|n|cFFFFD200Zone: |rIcecrown Citadel"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","114","52253","52253","Sylvanas' Music Box","3.3.3","1","0","|cFFFFD200Quest: |rSylvanas' Vengeance|n|cFFFFD200Zone: |rIcecrown Citadel"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","183","54343","54343","Blue Crashin' Thrashin' Racer Controller","3.3.3","2","0","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","184","54438","54438","Tiny Blue Ragdoll","3.3.3","2","0","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","185","54437","54437","Tiny Green Ragdoll","3.3.3","2","0","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","186","44606","44606","Toy Train Set","3.0.3","2","0","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","187","45057","45057","Wind-Up Train Wrecker","3.1.0","2","0","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","189","46843","46843","Argent Crusader's Banner","3.2.0","2","0","|cFFFFD200Vendor: |rDame Evniki Kapsalis|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","198","45021","45021","Darnassus Banner","3.1.0","2","0","|cFFFFD200Vendor: |rRook Hawkfist|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","199","36863","36863","Decahedral Dwarven Dice","3.0.3","0","0","|cFFFFD200Drop: |rRogue Pickpocketing"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","200","45020","45020","Exodar Banner","3.1.0","2","0","|cFFFFD200Vendor: |rIrisee|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","205","44719","44719","Frenzyheart Brew","3.0.3","2","0","|cFFFFD200Source: |rDisgusting Jar|n|cFFFFD200Vendor: |rTanak|n|cFFFFD200Zone: |rSholazar Basin"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","208","45019","45019","Gnomeregan Banner","3.1.0","2","0","|cFFFFD200Vendor: |rRillie Spindlenut|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","209","40895","40895","Gnomish X-Ray Specs","3.0.3","3","0","|cFFFFD200Profession: |rEngineering(425)"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","217","45018","45018","Ironforge Banner","3.1.0","2","0","|cFFFFD200Vendor: |rDerrick Brindlebeard|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","228","45014","45014","Orgrimmar Banner","3.1.0","2","0","|cFFFFD200Vendor: |rFreka Bloodaxe|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","234","45015","45015","Sen'jin Banner","3.1.0","2","0","|cFFFFD200Vendor: |rSamamba|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","237","45017","45017","Silvermoon City Banner","3.1.0","2","0","|cFFFFD200Vendor: |rTrellis Morningsun|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","True","241","45011","45011","Stormwind Banner","3.1.0","2","0","|cFFFFD200Vendor: |rCorporal Arthur Flew|n|cFFFFD200Zone: |rIcecrown"
"wrath_source_confirmed","include_wrath","wrath","False","True","False","243","50471","50471","The Heartbreaker","3.2.2","6","0","|cFFFFD200World Event: |rLove is in the Air|n|cFFFFD200Drop: |rApothecary Hummel"
