"status","release_decision","unavailable","availability_note","current_exists","official_guide_match","mount_id","name","source_spell_id","source_type_enum","flags","source_text","source_patches","original_item_ids","att_nyi","wrath_classic_exists"
"wrath_boundary_confirmed","include_wrath","False",,"True","False","221","Acherus Deathcharger","48778","2","0","|cFFFFD200Trainer:|r Death Knight|n","3.0.2","0","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","False","236","Winged Steed of the Ebon Blade","54729","2","128","|cFFFFD200Vendor: |rDread Commander Thalanor|n|cFFFFD200Zone: |rEastern Plaguelands|n|cFFFFD200Cost: |r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","3.0.2","40775","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","False","237","White Polar Bear","54753","0","0","|cFFFFD200Drop:|r Hyldnir Spoils|n|cFFFFD200Location:|r The Storm Peaks","3.0.3","43962","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","False","240","Mechano-Hog","55531","3","4","|cFFFFD200Profession: |rEngineering","3.0.3","41508","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","246","Azure Drake","59567","0","128","|cFFFFD200Drop:|r Alexstrasza's Gift|n|cFFFFD200Location:|r Eye of Eternity","3.0.3","43952","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","247","Blue Drake","59568","0","128","|cFFFFD200Drop:|r Alexstrasza's Gift|n|cFFFFD200Location:|r Eye of Eternity","3.0.3","43953","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","248","Bronze Drake","59569","0","128","|cFFFFD200Drop: |rInfinite Corruptor|n|cFFFFD200Zone: |rThe Culling of Stratholme","3.0.3","43951","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","False","249","Red Drake","59570","2","128","|cFFFFD200Vendor: |rCielstrasza|n|cFFFFD200Zone: |rDragonblight|n|cFFFFD200Faction: |rThe Wyrmrest Accord - Exalted|n|cFFFFD200Cost: |r2000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","3.0.3","43955","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","250","Twilight Drake","59571","0","128","|cFFFFD200Drop:|r Sartharion|n|cFFFFD200Location:|r The Obsidian Sanctum","3.0.3","43954","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","False","253","Black Drake","59650","0","128","|cFFFFD200Drop:|r Sartharion","3.0.3","43986","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","254","Black War Mammoth","59785","2","4","|cFFFFD200Vendor: |rKnight Dameron|n|cFFFFD200Zone: |rWintergrasp|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","3.0.3","43956","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","255","Black War Mammoth","59788","2","4","|cFFFFD200Vendor: |rStone Guard Mukar|n|cFFFFD200Zone: |rWintergrasp|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","3.0.3","44077","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","256","Wooly Mammoth","59791","2","4","|cFFFFD200Vendor: |rMei Francis|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r10000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","3.0.3","44230","False","True"
"wrath_boundary_confirmed","include_wrath","False",,"True","True","257","Wooly Mammoth","59793","2","4","|cFFFFD200Vendor: |rMei Francis|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r10000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","3.0.3","44231","False","True"
