"status","current_exists","faction_id","name","parent_faction_id"
"wrath_support_confirmed","True","1037","Alliance Vanguard","1097"
"wrath_support_confirmed","True","1050","Valiance Expedition","1037"
"wrath_support_confirmed","True","1052","Horde Expedition","1097"
"wrath_support_confirmed","True","1064","The Taunka","1052"
"wrath_support_confirmed","True","1067","The Hand of Vengeance","1052"
"wrath_support_confirmed","True","1068","Explorers' League","1037"
"wrath_support_confirmed","True","1073","The Kalu'ak","1097"
"wrath_support_confirmed","True","1085","Warsong Offensive","1052"
"wrath_support_confirmed","True","1090","Kirin Tor","1097"
"wrath_support_confirmed","True","1091","The Wyrmrest Accord","1097"
"wrath_support_confirmed","True","1094","The Silver Covenant","1037"
"wrath_support_confirmed","True","1098","Knights of the Ebon Blade","1097"
"wrath_support_confirmed","True","1104","Frenzyheart Tribe","1117"
"wrath_support_confirmed","True","1105","The Oracles","1117"
"wrath_support_confirmed","True","1106","Argent Crusade","1097"
"wrath_support_confirmed","True","1119","The Sons of Hodir","1097"
"wrath_support_confirmed","True","1124","The Sunreavers","1052"
"wrath_support_confirmed","True","1126","The Frostborn","1037"
"wrath_support_confirmed","True","1156","The Ashen Verdict","1097"
