"current_exists","faction_id","name","parent_faction_id","friendship_rep_id","flags","source"
"True","2103","Zandalari Empire","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2156","Talanji's Expedition","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2157","The Honorbound","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2158","Voldunai","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2159","7th Legion","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2160","Proudmoore Admiralty","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2161","Order of Embers","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2162","Storm's Wake","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2163","Tortollan Seekers","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2164","Champions of Azeroth","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2373","The Unshackled","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2391","Rustbolt Resistance","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2395","Honeyback Hive","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2396","Honeyback Drone","0","326","0","selected_collectible_or_achievement_requirement"
"True","2397","Honeyback Hivemother","0","327","0","selected_collectible_or_achievement_requirement"
"True","2398","Honeyback Harvester","0","325","0","selected_collectible_or_achievement_requirement"
"True","2400","Waveblade Ankoan","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2415","Rajani","2104","0","0","selected_collectible_or_achievement_requirement"
"True","2417","Uldum Accord","2104","0","0","selected_collectible_or_achievement_requirement"
