"status","release_decision","unavailable","availability_note","current_exists","toy_id","item_id","name","item_expansion_id","source_type_enum","flags","source_text"
"item_expansion_signal","include_bfa","False",,"True","680","156649","Zandalari Effigy Amulet","7","6","0","|cFFFFD200Vendor: |rGriftah|n|cFFFFD200Zone: |rZuldazar"
"item_expansion_signal","include_bfa","False",,"True","682","156871","Spitzy","7","1","0","|cFFFFD200Quest:|r Tiny Treasures|n|cFFFFD200Zone: |rZuldazar"
"snapshot_candidate","include_bfa","False",,"True","683","158149","Overtuned Corgi Goggles","0","6","0","|cFFFFD200Holiday:|r WoW's Anniversary"
"item_expansion_signal","include_bfa","False",,"True","684","160740","Croak Crock","7","3","0","|cFFFFD200Profession:|r Zandalari Archaeology|n"
"item_expansion_signal","include_bfa","False",,"True","685","160751","Dance of the Dead","7","3","0","|cFFFFD200Profession:|r Drust Archaeology|n"
"item_expansion_signal","include_bfa","False",,"True","686","161342","Gem of Acquiescence","7","-1","2","|cFFFFD200Secret:|r Secret of the Depths|n|cFFFFD200Zone:|r Tiragarde Sound"
"snapshot_candidate","include_bfa","False",,"True","787","162539","Hot Buttered Popcorn","0","2","0","|cFFFFD200Vendor: |rStamp Thunderhorn|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r50|Hcurrency:515|h|TInterface\ICONS\INV_Misc_Ticket_Darkmoon_01.blp:0|t|h"
"item_expansion_signal","include_bfa","False",,"True","788","159749","Haw'li's Hot & Spicy Chili","7","2","0","|cFFFFD200Vendor: |rTrader Haw'li|n|cFFFFD200Zone: |rZuldazar|n|cFFFFD200Cost: |r66|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"snapshot_candidate","include_bfa","False",,"True","789","162643","Toy Armor Set","0","6","0","|cFFFFD200World Event:|r Feast of Winter Veil|n"
"snapshot_candidate","include_bfa","False",,"True","790","162642","Toy Armor Set","0","6","0","|cFFFFD200World Event:|r Feast of Winter Veil|n"
"snapshot_candidate","include_bfa","False",,"True","791","162973","Greatfather Winter's Hearthstone","0","6","0","|cFFFFD200World Event:|r Feast of Winter Veil|n"
"snapshot_candidate","include_bfa","False",,"True","792","163045","Headless Horseman's Hearthstone","0","6","0","|cFFFFD200World Event:|r Hallow's End"
"item_expansion_signal","include_bfa","False",,"True","793","163211","Akunda's Firesticks","7","2","4","|cFFFFD200Vendor: |rHoarder Jena|n|cFFFFD200Zone: |rVol'dun|n|cFFFFD200Faction: |rVoldunai - Honored|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","795","163210","Party Totem","7","2","4","|cFFFFD200Vendor: |rNatal'hakata|n|cFFFFD200Zone: |rZuldazar|n|cFFFFD200Faction: |rZandalari Empire - Revered|n|cFFFFD200Cost: |r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"snapshot_candidate","include_bfa","False",,"True","796","163206",,,"2","2","|cFFFFD200Vendor: |rQuartermaster Alcorn|n|cFFFFD200Zone: |rDrustvar|n|cFFFFD200Faction: |rOrder of Embers - Revered|n|cFFFFD200Cost: |r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","797","163201","Gnoll Targeting Barrel","7","2","4","|cFFFFD200Vendor: |rProvisioner Fray|n|cFFFFD200Zone: |rTiragarde Sound|n|cFFFFD200Faction: |rProudmoore Admiralty - Honored|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","798","163200","Cursed Spyglass","7","2","4","|cFFFFD200Vendor: |rProvisioner Fray|n|cFFFFD200Zone: |rTiragarde Sound|n|cFFFFD200Faction: |rProudmoore Admiralty - Revered|n|cFFFFD200Cost: |r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","799","159753","Desert Flute","7","2","4","|cFFFFD200Vendor: |rHoarder Jena|n|cFFFFD200Zone: |rVol'dun|n|cFFFFD200Faction: |rVoldunai - Honored|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"snapshot_candidate","include_bfa","False",,"True","800","163565",,,"2","2","|cFFFFD200Vendor: |rHoarder Jena|n|cFFFFD200Zone: |rVol'dun|n|cFFFFD200Faction: |rVoldunai - Revered|n|cFFFFD200Cost: |r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"snapshot_candidate","include_bfa","False",,"True","801","163566",,,"2","2","|cFFFFD200Vendor: |rHoarder Jena|n|cFFFFD200Zone: |rVol'dun|n|cFFFFD200Faction: |rVoldunai - Honored|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
