"status","map_id","name","parent_map_id","system","type","flags"
"primary_map_candidate","1525","Revendreth","1550","0","3","6"
"primary_map_candidate","1533","Bastion","1550","0","3","6"
"primary_map_candidate","1536","Maldraxxus","1550","0","3","6"
"primary_map_candidate","1543","The Maw","1550","0","3","6"
"primary_map_candidate","1550","The Shadowlands","946","0","2","2304"
"child_map_candidate","1559","The Bastion of Twilight","241","0","6","0"
"primary_map_candidate","1565","Ardenweald","1550","0","3","6"
"child_map_candidate","1569","Bastion","1647","2","3","16384"
"child_map_candidate","1603","Ardenweald","1550","0","6","68"
"child_map_candidate","1615","TG10_Floor [Deprecated]","1543","0","6","0"
"child_map_candidate","1616","TG11_Floor [Deprecated]","1543","0","6","0"
"child_map_candidate","1617","TG12_Floor [Deprecated]","1543","0","6","0"
"child_map_candidate","1618","Torghast","1543","0","6","2"
"child_map_candidate","1619","Torghast","1543","0","6","2"
"child_map_candidate","1620","Torghast","1543","0","6","2"
"child_map_candidate","1621","Torghast","1543","0","6","2"
"child_map_candidate","1623","Torghast","1543","0","6","2"
"child_map_candidate","1624","Torghast","1543","0","6","2"
"child_map_candidate","1627","Torghast","1543","0","6","2"
"child_map_candidate","1628","Torghast","1543","0","6","2"
"child_map_candidate","1629","Torghast","1543","0","6","2"
"child_map_candidate","1630","Torghast","1543","0","6","2"
"child_map_candidate","1631","Torghast","1543","0","6","2"
"child_map_candidate","1632","Torghast","1543","0","6","2"
"child_map_candidate","1635","Torghast","1543","0","6","2"
"child_map_candidate","1636","Torghast","1543","0","6","2"
"child_map_candidate","1641","Torghast","1543","0","6","2"
"child_map_candidate","1643","Ardenweald","0","2","3","0"
"child_map_candidate","1644","Ember Court","1525","0","6","0"
"child_map_candidate","1645","Torghast","0","2","2","4"
"child_map_candidate","1647","The Shadowlands","0","2","2","8192"
"child_map_candidate","1648","The Maw","1550","0","6","70"
"child_map_candidate","1649","Etheric Vault","1536","0","5","0"
"child_map_candidate","1650","Sightless Hold","1536","0","5","0"
"child_map_candidate","1651","Molten Forge","1536","0","5","0"
"child_map_candidate","1652","Vault of Souls","1536","0","5","0"
"child_map_candidate","1656","Torghast - Map Floor 10 [Deprecated]","1550","0","6","0"
"child_map_candidate","1659","Alpha_TG_R03","1550","0","4","0"
"child_map_candidate","1661","Alpha_TG_R05","1550","0","4","0"
"child_map_candidate","1662","Queen's Conservatory","1565","0","6","0"
"child_map_candidate","1663","Halls of Atonement","1525","0","4","0"
"child_map_candidate","1664","Halls of Atonement","1525","0","4","0"
"child_map_candidate","1665","Halls of Atonement","1525","0","4","0"
"child_map_candidate","1666","The Necrotic Wake","1533","0","4","0"
"child_map_candidate","1667","The Necrotic Wake","1533","0","4","128"
"child_map_candidate","1668","The Necrotic Wake","1533","0","4","128"
"child_map_candidate","1669","Mists of Tirna Scithe","1565","0","4","0"
"primary_map_candidate","1670","Oribos","1550","0","4","98304"
"child_map_candidate","1671","Oribos","1550","0","4","65540"
"child_map_candidate","1672","Oribos","1550","0","4","65536"
"child_map_candidate","1673","Oribos","1550","0","4","65536"
"child_map_candidate","1674","Plaguefall","1536","0","4","0"
"child_map_candidate","1675","Sanguine Depths","1525","0","4","0"
"child_map_candidate","1676","Sanguine Depths","1525","0","4","0"
"child_map_candidate","1677","De Other Side","1565","0","4","0"
"child_map_candidate","1678","De Other Side","1565","0","4","0"
"child_map_candidate","1679","De Other Side","1565","0","4","0"
"child_map_candidate","1680","De Other Side","1565","0","4","0"
"child_map_candidate","1683","Theater of Pain","1536","0","4","0"
"child_map_candidate","1684","Theater of Pain","1536","0","4","0"
"child_map_candidate","1685","Theater of Pain","1536","0","4","0"
"child_map_candidate","1686","Theater of Pain","1536","0","4","0"
"child_map_candidate","1687","Theater of Pain","1536","0","4","0"
"child_map_candidate","1688","Revendreth","1550","0","6","2"
"child_map_candidate","1689","Maldraxxus","1550","0","6","4162"
"child_map_candidate","1690","Aspirant's Quarters","1533","0","5","0"
"child_map_candidate","1692","Spires Of Ascension","1533","0","4","0"
"child_map_candidate","1693","Spires Of Ascension","1533","0","4","0"
"child_map_candidate","1694","Spires Of Ascension","1533","0","4","0"
"child_map_candidate","1695","Spires Of Ascension","1533","0","4","0"
"child_map_candidate","1697","Plaguefall","1536","0","4","0"
"child_map_candidate","1698","Seat of the Primus","1536","0","4","64"
"child_map_candidate","1699","Sinfall","1525","0","4","68"
"child_map_candidate","1700","Sinfall","1525","0","4","0"
"child_map_candidate","1701","Heart of the Forest","1565","0","4","4"
"child_map_candidate","1702","Heart of the Forest","1565","0","4","0"
"child_map_candidate","1703","Heart of the Forest","1565","0","4","0"
"child_map_candidate","1705","Torghast - Entrance","0","0","6","0"
"child_map_candidate","1707","Elysian Hold","1533","0","4","4"
"child_map_candidate","1708","Elysian Hold","1533","0","4","0"
"child_map_candidate","1709","Ardenweald","1565","0","6","0"
"child_map_candidate","1711","Ascension Coliseum","1533","0","6","0"
"child_map_candidate","1712","Torghast","1543","0","6","2"
"child_map_candidate","1713","Path of Wisdom","1533","0","5","0"
"child_map_candidate","1714","Third Chamber of Kalliope","1533","0","5","0"
"child_map_candidate","1716","Torghast - Map Floor 22","1543","3","6","2"
"child_map_candidate","1720","Covenant_Ard_Torghast","1543","0","4","0"
"child_map_candidate","1721","Torghast","1543","0","6","2"
"child_map_candidate","1724","Vortrexxis","1536","0","4","0"
"child_map_candidate","1734","Revendreth","1550","2","6","128"
"child_map_candidate","1735","Castle Nathria","1525","0","4","66"
"child_map_candidate","1736","Torghast","1543","0","6","2"
"child_map_candidate","1738","Revendreth","1647","2","6","0"
"child_map_candidate","1739","Ardenweald","1647","2","6","0"
"child_map_candidate","1740","Ardenweald","1647","2","3","16384"
"child_map_candidate","1741","Maldraxxus","1647","2","3","16384"
"child_map_candidate","1742","Revendreth","1647","2","3","16384"
"child_map_candidate","1744","Castle Nathria","1525","0","4","64"
"child_map_candidate","1745","Castle Nathria","1525","0","4","64"
"child_map_candidate","1746","Castle Nathria","1525","0","4","64"
"child_map_candidate","1747","Castle Nathria","1525","0","4","64"
"child_map_candidate","1748","Castle Nathria","1525","0","4","64"
"child_map_candidate","1749","Torghast","1543","0","6","2"
"child_map_candidate","1750","Castle Nathria","1525","0","4","64"
"child_map_candidate","1751","Torghast","1543","0","6","2"
"child_map_candidate","1752","Torghast","1543","0","6","2"
"child_map_candidate","1753","Torghast","1543","0","6","2"
"child_map_candidate","1754","Torghast","1543","0","6","2"
"child_map_candidate","1755","Castle Nathria","1525","0","6","0"
"child_map_candidate","1756","Torghast","1543","0","6","2"
"child_map_candidate","1757","Torghast","1543","0","6","2"
