"status","release_decision","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text","audited_release_expansion","audited_source_content_expansion","audit_source_url"
"guide_confirmed","include_tww","True","3245","Helpful Workshop Bot","185425","367189","241193","-3","9","2","6","|cFFFFD200World Event:|r Children's Week",,,
"snapshot_candidate","include_tww","True","4450","Remembered Riverpaw","220420","441643","218086","-3","5","82","2","|cFFFFD200Vendor: |rRemembrancer Amuul|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h|n|n|cFFFFD200Vendor: |rMemory of a Duke|n|cFFFFD200Zone: |rSearing Gorge|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h",,,
"snapshot_candidate","include_tww","True","4451","Remembered Construct","220675","442327","218245","-3","5","82","2","|cFFFFD200Vendor: |rRemembrancer Amuul|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h|n|n|cFFFFD200Vendor: |rEcho of the Silver Hand|n|cFFFFD200Zone: |rDragonblight|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h",,,
"snapshot_candidate","include_tww","True","4452","Remembered Spawn","220680","442337","218246","-3","5","82","2","|cFFFFD200Vendor: |rRemembrancer Amuul
|cFFFFD200Zone: |rDalaran
|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h

|cFFFFD200Vendor: |rForgotten Hero
|cFFFFD200Zone: |rDustwallow Marsh
|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h",,,
"guide_confirmed","include_tww","True","4455","Rak-Ush Threadling","222046","446820","221486","10","7","2","2","|cFFFFD200Vendor: |rVes'trak|n|cFFFFD200Zone: |rAzj-Kahet|n|cFFFFD200Cost: |r2250|Hcurrency:3056|h|TInterface\ICONS\INV_10_Tailoring_SilkRare_Color3.BLP:0|t|h",,,
"guide_confirmed","include_tww","True","4456","Arachnoid Hatchling","222066","445486","","","7","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet, City of Threads, Hallowfall, Shadowvein Extraction Site, The Ringing Deeps|n",,,
"guide_confirmed","include_tww","True","4457","Chitin Burrower","222071","445450","","","7","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet, City of Threads, Hallowfall, Shadowvein Extraction Site, The Ringing Deeps",,,
"guide_confirmed","include_tww","True","4458","Illskitter","222069","445488","221195","10","7","34","0","|cFFFFD200Drop:|r |n",,,
"db2_tww_signal","include_tww","True","4459","Moss Skipper","222081","445493","221492","10","8","34","-1","",,,
"guide_confirmed","include_tww","True","4460","Arathi Chicken","222195","445803","","","2","26","4","|cFFFFD200Pet Battle: |rHallowfall",,,
"guide_confirmed","include_tww","True","4461","Greenlands Chicken","222194","445815","","","2","26","4","|cFFFFD200Pet Battle: |rHallowfall",,,
"guide_confirmed","include_tww","True","4462","Thunder","222203","445822","220782","10","7","18","1","|cFFFFD200Quest: |rTale of Tails|n|cFFFFD200Zone: |rHallowfall",,,
"guide_confirmed","include_tww","True","4463","Tiberius","222200","445823","221848","10","7","2","2","|cFFFFD200Vendor: |rAuralia Steelstrike|n|cFFFFD200Zone: |rHallowfall|n|cFFFFD200Cost: |r6500|Hcurrency:2815|h|TInterface\ICONS\SPELL_AZERITE_ESSENCE14.BLP:0|t|h",,,
