"status","current_exists","toy_id","item_id","name","item_expansion_id","source_type_enum","flags","source_text"
"item_expansion_confirmed","True","1449","211931","Abyss Caller Horn","10","2","4","|cFFFFD200Vendor: |rSir Finley Mrgglton|n|cFFFFD200Zone: |rDornogal|n|cFFFFD200Cost: |r500|Hcurrency:2803|h|TInterface\ICONS\INV_Misc_ElvenCoins.blp:0|t|h"
"item_expansion_confirmed","True","1457","215147","Beautification Iris","10","3","0","|cFFFFD200Profession:|r Khaz Algar Jewelcrafting|n"
"item_expansion_confirmed","True","1458","215145","Remembrance Stone","10","3","0","|cFFFFD200Profession:|r Khaz Algar Jewelcrafting|n"
"snapshot_candidate","True","1462","216887",,,"-1","2",""
"snapshot_candidate","True","1473","218310","Box of Puntables","-3","-1","2","|cFFFFD200World Event: |rFeast of Winter Veil"
"item_expansion_confirmed","True","1477","219387","Barrel of Fireworks","10","3","0","|cFFFFD200Profession: |rKhaz Algar Engineering"
"item_expansion_confirmed","True","1478","221966","Wormhole Generator: Khaz Algar","10","-1","2","|cFFFFD200Profession: |rKhaz Algar Engineering"
"item_expansion_confirmed","True","1480","223312","Trusty Hat","10","0","4","|cFFFFD200Drop:|r Delver's Journey|n"
"snapshot_candidate","True","1482","224192","Practice Ravager","0","2","0","|cFFFFD200Vendor: |rBobadormu|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r200|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h|n|n|cFFFFD200Vendor: |rGrannadormu|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r200|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h"
"item_expansion_confirmed","True","1483","224251","Memory Chord","10","5","0","|cFFFFD200Achievement:|r Memories of a World Soul|n"
"snapshot_candidate","True","1484","204405","Stuffed Bear","9","0","0","|cFFFFD200Treasure: |rStuffed Bear|n|cFFFFD200Zone: |rThe Forbidden Reach"
"item_expansion_confirmed","True","1485","221962","Defective Escape Pod","10","-1","2","|cFFFFD200Profession: |rKhaz Algar Engineering"
"item_expansion_confirmed","True","1486","224552","Cave Spelunker's Torch","10","0","0","|cFFFFD200Treasure: |rIlluminated Footlocker|n|cFFFFD200Zone: |rHallowfall"
"item_expansion_confirmed","True","1487","224554","Silver Linin' Scepter","10","0","0","|cFFFFD200Treasure: |rSunken Cache|n|cFFFFD200Zone: |rHallowfall"
"item_expansion_confirmed","True","1488","219403","Stonebound Lantern","10","-1","0","|cFFFFD200Profession: |rKhaz Algar Engineering"
"item_expansion_confirmed","True","1489","224585","Hanna's Locket","10","0","0","|cFFFFD200Treasure:|r Tree's Treasure|n|cFFFFD200Zone:|r Khaz Algar|n"
"item_expansion_confirmed","True","1490","224643","Pet-Sized Candle","10","-1","0",""
"item_expansion_confirmed","True","1491","224783","Sovereign's Finery Chest","10","0","0","|cFFFFD200Zone:|r The Azure Span"
"item_expansion_confirmed","True","1493","225347","Web-Vandal's Spinning Wheel","10","0","0","|cFFFFD200Treasure: |r""Weaving Supplies""|n|cFFFFD200Zone: |rAzj-Kahet"
"item_expansion_confirmed","True","1494","221964","Filmless Camera","10","-1","0","|cFFFFD200Profession: |rKhaz Algar Engineering"
"item_expansion_confirmed","True","1495","225547","Toxic Victory","10","1","4","|cFFFFD200Quest: |rZekvir, Hand of the Harbinger
|cFFFFD200Zone: |rDornogal"
"item_expansion_confirmed","True","1496","225641","Illusive Kobyss Lure","10","-1","0",""
"item_expansion_confirmed","True","1497","225659","Arathi Book Collection","10","0","0","|cFFFFD200Treasure: |rLoremaster's Reward|n|cFFFFD200Zone: |rHallowfall"
"item_expansion_confirmed","True","1498","225910","Pileus Delight","10","2","4","|cFFFFD200Vendor: |rSir Finley Mrgglton|n|cFFFFD200Zone: |rDornogal|n|cFFFFD200Cost: |r500|Hcurrency:2803|h|TInterface\ICONS\INV_Misc_ElvenCoins.blp:0|t|h"
"item_expansion_confirmed","True","1499","225933","Forged Legend's Pennant","10","-1","2","|cFFFFD200Achievement: |rLegend: The War Within Season 1|n|cFFFFD200Category: |rArena"
"item_expansion_confirmed","True","1500","225969","Forged Flag of Victory","10","-1","0","|cFFFFD200Achievement: |rSparking Battle|n|cFFFFD200Category: |rWorld"
"item_expansion_confirmed","True","1501","225556","Ancient Construct","10","0","4","|cFFFFD200Treasure:|r Sturdy Chest|n|cFFFFD200Delves |r|n"
"snapshot_candidate","True","1502","226191","Web Pet Leash","2","-1","0",""
"item_expansion_confirmed","True","1503","226519","General's Expertise","10","-1","0",""
"item_expansion_confirmed","True","1504","226810","Infiltrator's Shroud","10","0","2","|cFFFFD200Drop:|r Ethereum Infiltrator|n"
"item_expansion_confirmed","True","1505","227538","Unbound Legend's Pennant","10","-1","2","|cFFFFD200Achievement: |rSolo Shuffle Medic: The War Within|n|cFFFFD200Category: |rArena"
"item_expansion_confirmed","True","1506","227539","Unbound Strategist's Pennant","10","-1","2","|cFFFFD200Achievement: |rBattleground Blitz Medic: The War Within|n|cFFFFD200Category: |rBattleground"
"item_expansion_confirmed","True","1508","228413","Lampyridae Lure","10","2","4","|cFFFFD200Vendor: |rSir Finley Mrgglton|n|cFFFFD200Zone: |rDornogal|n|cFFFFD200Cost: |r500|Hcurrency:2803|h|TInterface\ICONS\INV_Misc_ElvenCoins.blp:0|t|h"
"item_expansion_confirmed","True","1509","228706","Rockslidomancer's Stone","10","2","4","|cFFFFD200Vendor: |rAuditor Balwurz|n|cFFFFD200Zone: |rDornogal|n|cFFFFD200Cost: |r5000|Hcurrency:2815|h|TInterface\ICONS\SPELL_AZERITE_ESSENCE14.BLP:0|t|h"
"item_expansion_confirmed","True","1510","228698","Candleflexer's Dumbbell","10","2","4","|cFFFFD200Vendor: |rWaxmonger Squick|n|cFFFFD200Zone: |rThe Ringing Deeps|n|cFFFFD200Cost: |r5000|Hcurrency:2815|h|TInterface\ICONS\SPELL_AZERITE_ESSENCE14.BLP:0|t|h"
"item_expansion_confirmed","True","1511","228707","Trial of Burning Light","10","2","4","|cFFFFD200Vendor: |rAuralia Steelstrike|n|cFFFFD200Zone: |rHallowfall|n|cFFFFD200Cost: |r5000|Hcurrency:2815|h|TInterface\ICONS\SPELL_AZERITE_ESSENCE14.BLP:0|t|h"
"item_expansion_confirmed","True","1512","228705","Arachnoserum","10","2","4","|cFFFFD200Vendor: |rLady Vinazian|n|cFFFFD200Zone: |rAzj-Kahet|n|cFFFFD200Cost: |r1750|Hcurrency:3056|h|TInterface\ICONS\INV_10_Tailoring_SilkRare_Color3.BLP:0|t|h|n|n|cFFFFD200Vendor: |rY'tekhi|n|cFFFFD200Zone: |rAzj-Kahet|n|cFFFFD200Cost: |r1750|Hcurrency:3056|h|TInterface\ICONS\INV_10_Tailoring_SilkRare_Color3.BLP:0|t|h"
"item_expansion_confirmed","True","1513","228914","Arachnophile Spectacles","10","2","0","|cFFFFD200Vendor: |rAlvus Valavulu|n|cFFFFD200Zone: |rCity of Threads|n|cFFFFD200Cost: |r1500|Hcurrency:3056|h|TInterface\ICONS\INV_10_Tailoring_SilkRare_Color3.BLP:0|t|h"
"snapshot_candidate","True","1514","228789","Coldflame Ring","-3","2","0","|cFFFFD200Vendor: |rHistorian Ma'di|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r20|Hcurrency:3100|h|TInterface\ICONS\INV_10_DungeonJewelry_Dragon_Necklace_1_Bronze.BLP:0|t|h"
"item_expansion_confirmed","True","1515","230727","Explosive Victory","10","1","4","|cFFFFD200World Quest: |rDefeating the Underpin|n|cFFFFD200Zone: |rThe Ringing Deeps"
"snapshot_candidate","True","1516","229828","20th Anniversary Balloon Chest","-3","2","0","|cFFFFD200Vendor: |rHistorian Ma'di|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r20|Hcurrency:3100|h|TInterface\ICONS\INV_10_DungeonJewelry_Dragon_Necklace_1_Bronze.BLP:0|t|h|n|n|cFFFFD200Vendor: |rCarl Goodup|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r20|Hcurrency:3100|h|TInterface\ICONS\INV_10_DungeonJewelry_Dragon_Necklace_1_Bronze.BLP:0|t|h"
"item_expansion_confirmed","True","1517","232301","Tempered Banner of the Algari","10","7","2","|cFFFFD200WoW Esports:|r The War Within Season 1"
"item_expansion_confirmed","True","1518","232305","Forged Champion's Prestigious Banner","10","7","2","|cFFFFD200WoW Esports:|r The War Within Season 1"
