"currency_id","name","description","category_id","faction_id","max_quantity","flags_0","flags_1"
"2531","zzOLD Delving Gems","Payment for recovering various lost artifacts within delves.","250","0","2000","3154370","0"
"2590","Lost Transcripts","Various Earthen treasures and relics previously thought to be lost.","250","0","2000","3154370","0"
"2591","11.0 Delves - Score Inside","Payment for recovering various lost artifacts within delves.","250","0","2000","3154370","0"
"2592","11.0 Delves - Reputation Score","Payment for recovering various lost artifacts within delves.","250","0","2000","3154370","0"
"2655","Revives","Dummy currency for Delves UI","142","0","0","0","0"
"2785","Khaz Algar Alchemy Knowledge","Use Knowledge to learn Alchemy Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing special crafting orders offered in Dornogal.","142","0","0","0","0"
"2786","Khaz Algar Blacksmithing Knowledge","Use Knowledge to learn Blacksmithing Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing special crafting orders offered in Dornogal.","142","0","0","0","0"
"2787","Khaz Algar Enchanting Knowledge","Use Knowledge to learn Enchanting Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered by your trainer in Dornogal.","142","0","0","0","0"
"2788","Khaz Algar Engineering Knowledge","Use Knowledge to learn Engineering Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing special crafting orders offered in Dornogal.","142","0","0","0","0"
"2789","Khaz Algar Herbalism Knowledge","Use Knowledge to learn Herbalism Specializations.

Knowledge can be gained through various means such as studying discoveries found while gathering and completing quests offered by your trainer in Dornogal.","142","0","0","0","0"
"2790","Khaz Algar Inscription Knowledge","Use Knowledge to learn Inscription Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing special crafting orders offered in Dornogal.","142","0","0","0","0"
"2791","Khaz Algar Jewelcrafting Knowledge","Use Knowledge to learn Jewelcrafting Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing special crafting orders offered in Dornogal.","142","0","0","0","0"
"2792","Khaz Algar Leatherworking Knowledge","Use Knowledge to learn Leatherworking Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing special crafting orders offered in Dornogal.","142","0","0","0","0"
"2793","Khaz Algar Mining Knowledge","Use Knowledge to learn Mining Specializations.

Knowledge can be gained through various means such as studying discoveries found while mining and completing quests offered by your trainer in Dornogal.","142","0","0","0","0"
"2794","Khaz Algar Skinning Knowledge","Use Knowledge to learn Skinning Specializations.

Knowledge can be gained through various means such as studying discoveries found while skinning and completing quests offered by your trainer in Dornogal.","142","0","0","0","0"
"2795","Khaz Algar Tailoring Knowledge","Use Knowledge to learn Tailoring Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing special crafting orders offered in Dornogal.","142","0","0","0","0"
