"status","release_decision","unavailable","availability_note","current_exists","mount_id","name","source_spell_id","item_ids","item_expansion_ids","source_type_enum","flags","source_text"
"item_expansion_signal","include_shadowlands","False",,"True","803","Mastercraft Gravewing","215545","186479","8","0","0","|cFFFFD200Covenant: |rVenthyr|n|cFFFFD200Drop:|r Stygian Stonecrusher|n|cFFFFD200Zone:|r Korthia |n"
"item_expansion_signal","include_shadowlands","False",,"True","1298","Hopecrusher Gargon","312753","180581","8","0","0","|cFFFFD200Covenant: |rVenthyr|n|cFFFFD200Zone: |rRevendreth"
"item_expansion_signal","include_shadowlands","False",,"True","1299","Battle Gargon Vrednic","312754","180948","8","0","0","|cFFFFD200Covenant: |rVenthyr|n|cFFFFD200Zone: |rRevendreth"
"item_expansion_signal","include_shadowlands","False",,"True","1302","Dreamlight Runestag","312759","180263","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1303","Enchanted Dreamlight Runestag","312761","180721","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1304","Mawsworn Soulhunter","312762","184167","8","0","0","|cFFFFD200Drop: |rGorged Shadehound|n|cFFFFD200Zone: |rThe Maw"
"item_expansion_signal","include_shadowlands","False",,"True","1305","Darkwarren Hardshell","312763","183052","8","0","0","|cFFFFD200Adventures:|r Shadowlands"
"item_expansion_signal","include_shadowlands","False",,"True","1306","Swift Gloomhoof","312767","180728","8","0","0","|cFFFFD200Drop: |rNight Mare|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1307","Sundancer","312765","180773","8","0","0","|cFFFFD200Drop:|r Sundancer|n|cFFFFD200Zone:|r Bastion|n"
"item_expansion_signal","include_shadowlands","False",,"True","1309","Chittering Animite","312776","183617","8","0","128","|cFFFFD200Adventures:|r Shadowlands|n"
"item_expansion_signal","include_shadowlands","False",,"True","1310","Horrid Dredwing","332882","180461","8","-1","128","|cFFFFD200Drop: |rHarika the Horrid|n|cFFFFD200Covenant: |rVenthyr|n|cFFFFD200Zone: |rRevendreth"
"item_expansion_signal","include_shadowlands","False",,"True","1332","Silky Shimmermoth","318051","180748","8","2","128","|cFFFFD200Vendor: |rMaster Clerk Salorn|n|cFFFFD200Zone: |rArdenweald|n|cFFFFD200Cost: |r5000|Hcurrency:1813|h|TInterface\ICONS\Spell_AnimaBastion_Orb.BLP:0|t|h"
"item_expansion_signal","include_shadowlands","False",,"True","1350","Colossal Slaughterclaw","327405","182081","8","0","128","|cFFFFD200Drop: |rSupplies of the Undying Army|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1351","Vicious War Spider","327407","184014","8","5","4","|cFFFFD200PvP:|r Shadowlands: Season 1|nRated Arena and Rated Battleground Season Reward"
"item_expansion_signal","include_shadowlands","False",,"True","1352","Vicious War Spider","327408","184013","8","5","4","|cFFFFD200PvP:|r Shadowlands: Season 1|nRated Arena and Rated Battleground Season Reward"
"item_expansion_signal","include_shadowlands","False",,"True","1354","Shadeleaf Runestag","332243","180413","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1355","Wakener's Runestag","332244","180414","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1356","Winterborn Runestag","332245","180415","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1357","Enchanted Shadeleaf Runestag","332246","180722","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1358","Enchanted Wakener's Runestag","332247","180723","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1359","Enchanted Winterborn Runestag","332248","180724","8","0","0","|cFFFFD200Covenant: |rNight Fae|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1360","Shimmermist Runner","332252","180727","8","0","0","|cFFFFD200Area: |rMistveil Tangle|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1361","Duskflutter Ardenmoth","332256","180729","8","-1","128","|cFFFFD200Vendor: |rAithlyn|n|cFFFFD200Zone: |rArdenweald|n|cFFFFD200Faction: |rThe Wild Hunt - Exalted|n|cFFFFD200Cost: |r30000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_shadowlands","False",,"True","1362","Spinemaw Gladechewer","334364","180725","8","0","0","|cFFFFD200Drop: |rGormtamer Tizo|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","True","Shadowlands Gladiator season reward; season ended","True","1363","Sinful Gladiator's Soul Eater","332400","183937","8","5","192","|cFFFFD200Achievement: |rSinful Gladiator: Shadowlands Season 1|n|cFFFFD200Category: |rPlayer vs. Player"
"item_expansion_signal","include_shadowlands","False",,"True","1364","War-Bred Tauralus","332455","182077","8","0","0","|cFFFFD200Covenant: |rNecrolord|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1365","Plaguerot Tauralus","332456","182076","8","0","0","|cFFFFD200Covenant: |rNecrolord|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1366","Bonehoof Tauralus","332457","182075","8","0","0","|cFFFFD200Drop: |rTahonta|n|cFFFFD200Covenant: |rNecrolord|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1367","Chosen Tauralus","332460","182074","8","5","0","|cFFFFD200Achievement: |rThe Gang's All Here|n|cFFFFD200Category: |rCovenant Sanctums"
"item_expansion_signal","include_shadowlands","False",,"True","1368","Armored War-Bred Tauralus","332462","181822","8","0","0","|cFFFFD200Covenant: |rNecrolord|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1369","Armored Plaguerot Tauralus","332464","181821","8","2","0","|cFFFFD200Covenant: |rNecrolord|n|cFFFFD200Vendor: |rSu Zettai|n|cFFFFD200Zone: |rMaldraxxus|n|cFFFFD200Cost: |r3000|Hcurrency:1813|h|TInterface\ICONS\Spell_AnimaBastion_Orb.BLP:0|t|h"
"item_expansion_signal","include_shadowlands","False",,"True","1370","Armored Bonehoof Tauralus","332466","181815","8","0","0","|cFFFFD200Drop: |rSabriel the Bonecleaver|n|cFFFFD200Covenant: |rNecrolord|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1371","Armored Chosen Tauralus","332467","181820","8","5","0","|cFFFFD200Achievement: |rThings To Do When You're Dead|n|cFFFFD200Category: |rCovenant Sanctums"
"item_expansion_signal","include_shadowlands","False",,"True","1372","Blisterback Bloodtusk","332478","182085","8","0","0","|cFFFFD200Drop:|r Warbringer Mal'korak|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1373","Gorespine","332480","182084","8","0","0","|cFFFFD200Drop: |rNerissa Heartless|n|cFFFFD200Zone: |rMaldraxxus"
