"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","identity_key","duplicate_identity_count","selection_decision","npc_ids"
"14307","Adventurer of Bastion","0","86622","Herculon","50582","27","57705","text:herculon","1","include_shadowlands","158659"
"14307","Adventurer of Bastion","1","86623","Fallen Acolyte Erisne","50596","27","58222","text:fallen acolyte erisne","1","include_shadowlands","160721"
"14307","Adventurer of Bastion","2","86624","Sigilback","50597","27","60570","text:sigilback","1","include_shadowlands","161527"
"14307","Adventurer of Bastion","3","86625","Cloudtail","50598","27","60571","text:cloudtail","1","include_shadowlands","161530"
"14307","Adventurer of Bastion","4","86626","Nemaeus","50599","27","60569","text:nemaeus","1","include_shadowlands","161529"
"14307","Adventurer of Bastion","5","86627","Baedos","50592","27","58648","text:baedos","1","include_shadowlands","160629"
"14307","Adventurer of Bastion","6","86628","Wingflayer the Cruel","50600","27","60314","text:wingflayer the cruel","1","include_shadowlands","167078"
"14307","Adventurer of Bastion","7","86629","Vesper Repair: Sophia's Aria","50594","27","58319","text:vesper repair: sophia's aria","1","include_shadowlands","160882"
"14307","Adventurer of Bastion","8","86630","Dionae","50595","27","62650","text:dionae","1","include_shadowlands","163460"
"14307","Adventurer of Bastion","9","86631","Sundancer","50601","27","60862","text:sundancer","1","include_shadowlands","170548"
"14307","Adventurer of Bastion","10","86632","Basilofos, King of the Hill","50602","27","60897","text:basilofos, king of the hill","1","include_shadowlands","170659"
"14307","Adventurer of Bastion","11","86633","Dark Watcher","50603","27","60883","text:dark watcher","1","include_shadowlands","170623"
"14307","Adventurer of Bastion","12","86634","Cloudfeather Guardian","50604","27","60978","text:cloudfeather guardian","1","include_shadowlands","170932"
"14307","Adventurer of Bastion","13","86635","Enforcer Aegeon","50605","27","60998","text:enforcer aegeon","1","include_shadowlands","171009"
"14307","Adventurer of Bastion","14","86636","Unstable Memory","50606","27","60997","text:unstable memory","1","include_shadowlands","171008"
"14307","Adventurer of Bastion","15","86637","Embodied Hunger","50607","27","61001","text:embodied hunger","1","include_shadowlands","171013"
"14307","Adventurer of Bastion","16","86638","Xixin the Ravening","50608","27","61046","text:xixin the ravening","1","include_shadowlands","171040"
"14307","Adventurer of Bastion","17","86639","Worldfeaster Chronn","50609","27","61047","text:worldfeaster chronn","1","include_shadowlands","171041"
"14307","Adventurer of Bastion","18","86640","Collector Astorestes","50610","27","61002","text:collector astorestes","1","include_shadowlands","171014"
"14307","Adventurer of Bastion","19","86641","Demi the Relic Hoarder","50611","27","61069","text:demi the relic hoarder","1","include_shadowlands","171011"
