"current_exists","faction_id","name","parent_faction_id","friendship_rep_id","flags","source"
"True","2407","The Ascended","2414","0","0","selected_collectible_or_achievement_requirement"
"True","2410","The Undying Army","2414","0","0","selected_collectible_or_achievement_requirement"
"True","2413","Court of Harvesters","2414","0","0","selected_collectible_or_achievement_requirement"
"True","2432","Ve'nari","2414","366","0","selected_collectible_or_achievement_requirement"
"True","2439","The Avowed","2414","0","0","selected_collectible_or_achievement_requirement"
"True","2445","The Ember Court","2414","0","0","selected_collectible_or_achievement_requirement"
"True","2463","Marasmius","2414","390","0","selected_collectible_or_achievement_requirement"
"True","2464","Court of Night","2414","391","0","selected_collectible_or_achievement_requirement"
"True","2465","The Wild Hunt","2414","0","0","selected_collectible_or_achievement_requirement"
"True","2470","Death's Advance","2414","0","0","selected_collectible_or_achievement_requirement"
"True","2472","The Archivists' Codex","2414","393","0","selected_collectible_or_achievement_requirement"
"True","2478","The Enlightened","2414","0","0","selected_collectible_or_achievement_requirement"
