"current_exists","faction_id","name","parent_faction_id","friendship_rep_id","flags","source"
"True","1828","Highmountain Tribe","1834","0","0","selected_collectible_or_achievement_requirement"
"True","1859","The Nightfallen","1834","0","0","selected_collectible_or_achievement_requirement"
"True","1883","Dreamweavers","1834","0","0","selected_collectible_or_achievement_requirement"
"True","1894","The Wardens","1834","0","0","selected_collectible_or_achievement_requirement"
"True","1900","Court of Farondis","1834","0","0","selected_collectible_or_achievement_requirement"
"True","1948","Valarjar","1834","0","0","selected_collectible_or_achievement_requirement"
"True","1975","Conjurer Margoss","1834","0","193","selected_collectible_or_achievement_requirement"
"True","2018","Talon's Vengeance","1834","2","0","selected_collectible_or_achievement_requirement"
"True","2045","Armies of Legionfall","1834","0","0","selected_collectible_or_achievement_requirement"
"True","2097","Ilyssia of the Waters","1834","0","199","selected_collectible_or_achievement_requirement"
"True","2098","Keeper Raynae","1834","0","204","selected_collectible_or_achievement_requirement"
"True","2099","Akule Riverhorn","1834","0","200","selected_collectible_or_achievement_requirement"
"True","2100","Corbyn","1834","0","208","selected_collectible_or_achievement_requirement"
"True","2101","Sha'leth","1834","0","206","selected_collectible_or_achievement_requirement"
"True","2102","Impus","1834","0","202","selected_collectible_or_achievement_requirement"
"True","2135","Chromie","1834","0","209","selected_collectible_or_achievement_requirement"
"True","2165","Army of the Light","1834","0","0","selected_collectible_or_achievement_requirement"
"True","2170","Argussian Reach","1834","0","0","selected_collectible_or_achievement_requirement"
