"status","current_exists","faction_id","name","parent_faction_id"
"tbc_support_confirmed","True","911","Silvermoon City","67"
"tbc_support_confirmed","True","922","Tranquillien","980"
"tbc_support_confirmed","True","930","Exodar","469"
"tbc_support_confirmed","True","932","The Aldor","936"
"tbc_support_confirmed","True","933","The Consortium","980"
"tbc_support_confirmed","True","934","The Scryers","936"
"tbc_support_confirmed","True","935","The Sha'tar","936"
"tbc_support_confirmed","True","941","The Mag'har","980"
"tbc_support_confirmed","True","942","Cenarion Expedition","980"
"tbc_support_confirmed","True","946","Honor Hold","980"
"tbc_support_confirmed","True","947","Thrallmar","980"
"tbc_support_confirmed","True","967","The Violet Eye","980"
"tbc_support_confirmed","True","970","Sporeggar","980"
"tbc_support_confirmed","True","978","Kurenai","980"
"tbc_support_confirmed","True","989","Keepers of Time","980"
"tbc_support_confirmed","True","990","The Scale of the Sands","980"
"tbc_support_confirmed","True","1011","Lower City","936"
"tbc_support_confirmed","True","1012","Ashtongue Deathsworn","980"
"tbc_support_confirmed","True","1015","Netherwing","980"
"tbc_support_confirmed","True","1031","Sha'tari Skyguard","936"
"tbc_support_confirmed","True","1038","Ogri'la","980"
"tbc_support_confirmed","True","1077","Shattered Sun Offensive","936"
