"status","release_decision","acquisition_expansion","unavailable","availability_note","current_exists","official_guide_match","mount_id","name","source_spell_id","source_type_enum","flags","source_text","source_patches","original_item_ids","att_nyi"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","75","Black War Steed","22717","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29468","False"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","76","Black War Kodo","22718","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29466","False"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","77","Black Battlestrider","22719","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29465","False"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","78","Black War Ram","22720","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29467","False"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","79","Black War Raptor","22721","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29472","False"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","80","Red Skeletal Warhorse","22722","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29470","False"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","81","Black War Tiger","22723","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29471","False"
"exclude_cross_expansion","exclude_cross_expansion","classic","False",,"True","False","82","Black War Wolf","22724","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","2.0.1","29469","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False",,"True","False","123","Nether Drake","28828","2","192","|cFFFFD200Vendor: |rDrake Dealer Hurlunk|n|cFFFFD200Zone: |rShadowmoon Valley, Outland|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2.0.1","0","True"
"exclude_policy_external","exclude_policy_external","","False",,"True","False","125","Riding Turtle","30174","8","2192","|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay","2.0.0","23720","False"
"tbc_boundary_confirmed","include_tbc","the_burning_crusade","False",,"True","False","129","Golden Gryphon","32235","2","132","|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2.0.5","25470","False"
