"status","current_exists","faction_id","name","parent_faction_id"
"cataclysm_support_confirmed","True","1133","Bilgewater Cartel","67"
"cataclysm_support_confirmed","True","1134","Gilneas","469"
"cataclysm_support_confirmed","True","1135","The Earthen Ring","1162"
"cataclysm_support_confirmed","True","1158","Guardians of Hyjal","1162"
"cataclysm_support_confirmed","True","1171","Therazane","1162"
"cataclysm_support_confirmed","True","1172","Dragonmaw Clan","1162"
"cataclysm_support_confirmed","True","1173","Ramkahen","1162"
"cataclysm_support_confirmed","True","1174","Wildhammer Clan","1162"
"cataclysm_support_confirmed","True","1177","Baradin's Wardens","1162"
"cataclysm_support_confirmed","True","1178","Hellscream's Reach","1162"
"cataclysm_support_confirmed","True","1204","Avengers of Hyjal","1162"
