"status","release_decision","unavailable","current_exists","species_id","name","creature_id","summon_spell_id","pet_type_enum","flags","source_type_enum","source_text","guide_url"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","259","Blue Mini Jouster","42177","78683","2","18","1","Blue Mini Jouster ""Known to flourish in the rainy season, this insect is drawn to “Unlike its gold counterpart, the blue mini jouster takes a leisurely pace when jabbing its opponent’s eyeballs.” Quest: Egg Wave Mount Hyjal --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","260","Gold Mini Jouster","42183","78685","2","18","1","Gold Mini Jouster “This critter is infamous for its ability to unleash a fast and furious eyeball jabbing.” Quest: Egg Wave Mount Hyjal --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","261","Personal World Destroyer","43800","81937","9","2","3","Personal World Destroyer “Goblin engineering at its finest, Blueprints based on the massive fel reaver in Hellfire Penninsula.” Profession: Engineering -- --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","262","De-Weaponized Mechanical Companion","43916","82173","9","2","3","De-Weaponized Mechanical Companion “The gold standard for sturdy gnomish design, this mechanical critter is the perfect companion for the lonely engineer on the go.” Profession: Engineering -- --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","264","Crawling Claw","45128","84263","3","131074","3","Crawling Claw “This appears to be nothing more than the paw of a small primate. A closer inspection shows that the hand has been dried by centuries of exposure to the sands of Uldum.” Profession: Archeology -- --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","265","Pebble","45247","84492","6","131154","5","Pebble “An adventurous little elemental, Pebble escaped hungry gyreworms in the Crumbling Depths, braved the emptiness of the Twisting Nether, and ultimately found himself rescued from a mailbox.” Achievement: Rock Lover Deepholm --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","266","Fossilized Hatchling","45340","84752","3","2","3","Fossilized Hatchling “You stare at her, and she just stares right back. So clever; sometimes it seems as if she’s figuring out how to open doors.” Profession: Archeology -- --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","267","Enchanted Lantern","46898","93836","5","2","3","Enchanted Lantern “Reduces the likelihood of being eaten by monsters when you enter pitch-black places.” Profession: Cataclysm Enchanting -- --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","271","Rustberg Gull","48107","89472","2","2","2","Rustberg Gull “This bird is a salty veteran of the endless naval battles surrounding Tol Barad—a veteran whose grown plump from picking through the leftovers, that is.” Vendor: Quartermaster Brazie Tol Barad Peninsula Faction: Baradin’s Warden’s-Honored/ Hellscream’s Reach- Honored 50 Tol Barad Commendations","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","277","Clockwork Gnome","48609","90523","9","2","3","Clockwork Gnome “Thought to be an original construct of the titans, the Clockwork gnome has some gears smaller than the eye can see.” Profession: Archeology -- --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","278","Fox Kit","48641","90637","7","2","0","Fox Kit “The fighting in Tol Barad has made it difficult to find these kits, and numerous would-be owners have decimated the fox population there as a result.” Drop: Baradin Fox Tol Barad Peninsula --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","279","Tiny Shale Spider","48982","91343","6","2","0","Tiny Shale Spider “The elemental shale spider is no true arachnid, but it has durability and ferocity that make it feared even in Deepholm.” Drop: Jadefang Deepholm --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","292","Magic Lamp","50545","93837","5","2","3","Magic Lamp “Higitus figi-hockity pocki-abracadab-prestidig—oh, pinfeathers!” Profession: Enchanting -- --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"blizzard_cataclysm_acquisition_confirmed","include_cataclysm","False","True","293","Elementium Geode","50722","93838","6","2","0","Elementium Geode “Often confused by miners as a rare gem, the geode initially makes its presence known by emitting melodic reverberations.” Drop: Elementium Vein, Rich Elementium Vein (Mining) Deepholm, Twilight Highlands, Uldum --","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"cataclysm_archaeology_confirmed","include_cataclysm","False","True","309","Pterrordax Hatchling","53225","98571","2","2","3","|cFFFFD200Profession: |rArchaeology",""
"cataclysm_archaeology_confirmed","include_cataclysm","False","True","310","Voodoo Figurine","53232","98587","3","2","3","|cFFFFD200Profession: |rArchaeology",""
