"status","release_decision","unavailable","availability_note","current_exists","official_guide_match","mount_id","name","source_spell_id","item_ids","item_expansion_ids","source_type_enum","flags","source_text"
"policy_external_candidate","exclude_policy_external","False",,"True","False","571","Iron Skyreaver","153489","107951","0","9","128","|cFFFFD200In-Game Shop|r"
"policy_external_candidate","exclude_policy_external","False",,"True","False","593","Warforged Nightmare","163024","112326","0","9","0","|cFFFFD200In-Game Shop|r"
"policy_external_candidate","exclude_policy_external","False",,"True","False","594","Grinning Reaver","163025","112327","0","9","0","|cFFFFD200In-Game Shop|r"
"policy_external_candidate","exclude_policy_external","False",,"True","False","600","Dread Raven","155741","109013","0","7","128","|cFFFFD200Promotion:|r Warlords of Draenor Collector's Edition|n"
"wod_boundary_confirmed","include_wod","False",,"True","False","603","Creeping Carpet","169952","115363","0","3","1024","|cFFFFD200Profession:|r Tailoring"
"wod_boundary_confirmed","include_wod","True","WoW 10th Anniversary Molten Core reward; limited event ended","True","False","606","Core Hound","170347","115484","0","5","0","|cFFFFD200Achievement:|r Boldly, You Sought the Power of Ragnaros|n|cFFFFD200Category:|r Feats of Strength"
"wod_boundary_confirmed","include_wod","False",,"True","True","607","Gorestrider Gronnling","171436","116383","0","5","0","|cFFFFD200Achievement:|r Glory of the Draenor Raider"
"wod_boundary_confirmed","include_wod","False",,"True","True","608","Witherhide Cliffstomper","171616","116655","0","2","0","|cFFFFD200Vendor: |rTrader Araanda|n|cFFFFD200Zone: |rLunarfall|n|cFFFFD200Cost: |r20000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rTrader Darakk|n|cFFFFD200Zone: |rFrostwall|n|cFFFFD200Cost: |r20000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"wod_boundary_confirmed","include_wod","False",,"True","True","609","Trained Icehoof","171617","116656","0","2","0","|cFFFFD200Source:|r Garrison Stables|n"
"wod_boundary_confirmed","include_wod","False",,"True","True","611","Tundra Icehoof","171619","116658","0","0","0","|cFFFFD200Drop:|r Vengeance, Deathtalon, Terrorfist, Doomroller|n|cFFFFD200Zone:|r Tanaan Jungle|n"
"wod_boundary_confirmed","include_wod","False",,"True","False","612","Bloodhoof Bull","171620","116659","0","0","0","|cFFFFD200Drop:|r Nakk the Thunderer|n|cFFFFD200Location:|r Nagrand"
"wod_boundary_confirmed","include_wod","False",,"True","True","613","Ironhoof Destroyer","171621","116660","0","0","0","|cFFFFD200Drop:|r Blackhand|n|cFFFFD200Location:|r Blackrock Foundry (Mythic)"
"wod_boundary_confirmed","include_wod","False",,"True","False","614","Mottled Meadowstomper","171622","116661","0","0","0","|cFFFFD200Drop:|r Luk'hok|n|cFFFFD200Zone:|r Nagrand"
"wod_boundary_confirmed","include_wod","False",,"True","True","615","Trained Meadowstomper","171623","116662","0","1","0","|cFFFFD200Quest:|r Garrison Stables"
"wod_boundary_confirmed","include_wod","False",,"True","True","616","Shadowhide Pearltusk","171624","116663","0","0","0","|cFFFFD200Drop:|r Invader's Forgotten Treasure"
"wod_boundary_confirmed","include_wod","False",,"True","True","617","Dusty Rockhide","171625","116664","0","2","4","|cFFFFD200Vendor:|r Vindicator Nuurem|n|cFFFFD200Faction:|r Council of Exarchs - Exalted|n|cFFFFD200Location:|r Stormshield|n|cFFFFD200Cost:|r 5,000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t + 5,000|Tinterface\icons\inv_apexis_draenor.blp:0|t"
"wod_boundary_confirmed","include_wod","False",,"True","True","618","Armored Irontusk","171626","116665","0","2","4","|cFFFFD200Vendor:|r |n|cFFFFD200Faction:|r Sha'tari Defense - Exalted|n|cFFFFD200Location:|r Garrison Trading Post|n|cFFFFD200Cost:|r 5,000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t + 5,000|Tinterface\icons\inv_apexis_draenor.blp:0|t"
"wod_boundary_confirmed","include_wod","False",,"True","False","619","Blacksteel Battleboar","171627","116666","0","5","0","|cFFFFD200Achievement:|r Guild Glory of the Draenor Raider|n"
