id_kind,asset_id,name,map_id,x,y,sources
npc,17144,Goretooth,107,0.4400,0.4700,HandyNotes_TheBurningCrusade
npc,17144,Goretooth,107,0.5857,0.3094,HandyNotes_TheBurningCrusade
npc,17144,Goretooth,107,0.7620,0.7800,HandyNotes_TheBurningCrusade
npc,18677,Mekthorg the Wild,100,0.6980,0.6820,HandyNotes_TheBurningCrusade
npc,18678,Fulgorge,100,0.5660,0.7180,HandyNotes_TheBurningCrusade
npc,18679,Vorakem Doomspeaker,100,0.7140,0.5600,HandyNotes_TheBurningCrusade
npc,18680,Marticar,102,0.7880,0.5360,HandyNotes_TheBurningCrusade
npc,18681,Coilfang Emissary,102,0.7480,0.7700,HandyNotes_TheBurningCrusade
npc,18682,Bog Lurker,102,0.8600,0.9120,HandyNotes_TheBurningCrusade
npc,18683,Voidhunter Yar,107,0.3960,0.7280,HandyNotes_TheBurningCrusade
npc,18685,Okrek,108,0.3104,0.4312,HandyNotes_TheBurningCrusade
npc,18685,Okrek,108,0.4960,0.1822,HandyNotes_TheBurningCrusade
npc,18685,Okrek,108,0.5655,0.6849,HandyNotes_TheBurningCrusade
npc,18685,Okrek,108,0.5892,0.2406,HandyNotes_TheBurningCrusade
npc,18686,Doomsayer Jurim,108,0.3589,0.3990,HandyNotes_TheBurningCrusade
npc,18686,Doomsayer Jurim,108,0.4981,0.2524,HandyNotes_TheBurningCrusade
npc,18686,Doomsayer Jurim,108,0.6449,0.3941,HandyNotes_TheBurningCrusade
npc,18689,Crippler,108,0.4940,0.7100,HandyNotes_TheBurningCrusade
npc,18690,Morcrush,105,0.7200,0.2980,HandyNotes_TheBurningCrusade
npc,18692,Hemathion,105,0.3260,0.5340,HandyNotes_TheBurningCrusade
npc,18693,Speaker Mar'grom,105,0.6680,0.2680,HandyNotes_TheBurningCrusade
npc,18694,Collidus the Warp-Watcher,104,0.7360,0.2900,HandyNotes_TheBurningCrusade
npc,18695,Ambassador Jerrikar,104,0.7160,0.6180,HandyNotes_TheBurningCrusade
npc,18696,Kraator,104,0.5983,0.4686,HandyNotes_TheBurningCrusade
npc,18697,Chief Engineer Lorthander,109,0.2690,0.3845,HandyNotes_TheBurningCrusade
npc,18697,Chief Engineer Lorthander,109,0.4840,0.8175,HandyNotes_TheBurningCrusade
npc,18697,Chief Engineer Lorthander,109,0.5930,0.6600,HandyNotes_TheBurningCrusade
npc,18698,Ever-Core the Punisher,109,0.2600,0.4202,HandyNotes_TheBurningCrusade
npc,18698,Ever-Core the Punisher,109,0.2680,0.6500,HandyNotes_TheBurningCrusade
npc,18698,Ever-Core the Punisher,109,0.6410,0.4821,HandyNotes_TheBurningCrusade
npc,20932,Nuramoc,109,0.2680,0.8140,HandyNotes_TheBurningCrusade
npc,20932,Nuramoc,109,0.3657,0.2305,HandyNotes_TheBurningCrusade
npc,20932,Nuramoc,109,0.5720,0.6020,HandyNotes_TheBurningCrusade
npc,32357,Old Crystalbark,114,0.3380,0.3080,HandyNotes_WrathOfTheLichKing
npc,32357,Old Crystalbark,114,0.2100,0.2840,HandyNotes_WrathOfTheLichKing
npc,32357,Old Crystalbark,114,0.3400,0.2420,HandyNotes_WrathOfTheLichKing
npc,32358,Fumblub Gearwind,114,0.6223,0.3271,HandyNotes_WrathOfTheLichKing
npc,32358,Fumblub Gearwind,114,0.6260,0.3480,HandyNotes_WrathOfTheLichKing
npc,32361,Icehorn,114,0.8860,0.3980,HandyNotes_WrathOfTheLichKing
npc,32361,Icehorn,114,0.8040,0.4600,HandyNotes_WrathOfTheLichKing
npc,32361,Icehorn,114,0.8120,0.3160,HandyNotes_WrathOfTheLichKing
npc,32361,Icehorn,114,0.8820,0.3960,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.5024,0.0493,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.5360,0.1240,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.6060,0.2000,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.6880,0.1700,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.7160,0.1360,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.4980,0.0460,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.5280,0.1160,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.6080,0.2000,HandyNotes_WrathOfTheLichKing
npc,32377,Perobas the Bloodthirster,117,0.6820,0.1720,HandyNotes_WrathOfTheLichKing
npc,32386,Vigdis the War Maiden,117,0.7280,0.5140,HandyNotes_WrathOfTheLichKing
npc,32386,Vigdis the War Maiden,117,0.6860,0.4840,HandyNotes_WrathOfTheLichKing
